Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
2,Arsenal,38,25,8,5,87,36,51,83,2.18,"37,979",25,26.2,,38,417,,,86,68,83,3,4,46,1,2.26,1.79,4.05,2.18,3.97,2,38,38,"3,420",,36,0.95,146,110,75.3,25,8,5,16,42.1,25,,86,,301,,,7.92,,0.28,,3,4
10,Aston Villa,38,12,11,15,45,52,-7,47,1.24,"37,354",22,25.7,,38,421,,,43,34,40,3,6,55,2,1.13,0.89,2.03,1.05,1.95,2,38,38,"3,420",,52,1.37,236,184,78,12,11,15,11,28.9,22,,43,,213,,,5.61,,0.19,,3,6
12,Birmingham City,38,11,12,15,40,46,-6,45,1.18,"28,760",26,27.9,,38,417,,,37,24,35,2,2,62,3,0.97,0.63,1.61,0.92,1.55,1,38,38,"3,420",,46,1.21,212,166,78.3,11,12,15,9,23.7,26,,37,,158,,,4.16,,0.22,,2,2
15,Blackburn,38,9,15,14,32,43,-11,42,1.11,"22,315",31,27.8,,38,414,,,31,24,29,2,3,73,5,0.82,0.63,1.45,0.76,1.39,1,38,38,"3,420",,43,1.13,227,184,81.1,9,15,14,15,39.5,31,,31,,196,,,5.16,,0.15,,2,3
6,Bolton,38,16,10,12,49,44,5,58,1.53,"26,006",25,28.6,,38,418,,,49,33,44,5,6,58,2,1.29,0.87,2.16,1.16,2.03,3,38,38,"3,420",,44,1.16,179,135,75.4,16,10,12,8,21.1,25,,49,,260,,,6.84,,0.17,,5,6
11,Charlton Ath,38,12,10,16,42,58,-16,46,1.21,"26,401",21,28,,38,414,,,41,28,41,0,0,38,4,1.08,0.74,1.82,1.08,1.82,2,38,38,"3,420",,58,1.53,232,174,75,12,10,16,12,31.6,21,,41,,171,,,4.5,,0.24,,0,0
1,Chelsea,38,29,8,1,72,15,57,95,2.5,"41,870",30,25.2,,38,422,,,71,58,66,5,6,49,0,1.87,1.53,3.39,1.74,3.26,2,38,38,"3,420",,15,0.39,112,97,86.6,29,8,1,25,65.8,30,,71,,310,,,8.16,,0.21,,5,6
18,Crystal Palace,38,7,12,19,41,62,-21,33,0.87,"24,108",27,25.7,,38,418,,,43,26,33,10,12,58,3,1.13,0.68,1.82,0.87,1.55,2,38,38,"3,420",,62,1.63,291,229,78.7,7,12,19,10,26.3,27,,43,,191,,,5.03,,0.17,,10,12
4,Everton,38,18,7,13,45,46,-1,61,1.61,"36,834",21,28.5,,38,414,,,45,34,43,2,3,56,4,1.18,0.89,2.08,1.13,2.03,2,38,38,"3,420",,46,1.21,194,148,76.3,18,7,13,13,34.2,21,,45,,173,,,4.55,,0.25,,2,3
13,Fulham,38,12,8,18,52,60,-8,44,1.16,"19,838",24,27.7,,38,418,,,52,39,50,2,4,56,7,1.37,1.03,2.39,1.32,2.34,2,38,38,"3,420",,60,1.58,258,198,76.7,12,8,18,8,21.1,24,,52,,187,,,4.92,,0.27,,2,4
