Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
5,Liverpool,38,17,7,14,52,41,11,58,1.53,"42,587",28,26.2,,38,414,,,49,42,46,3,5,46,2,1.29,1.11,2.39,1.21,2.32,3,38,38,"3,420",,41,1.08,171,130,76,17,7,14,7,18.4,28,,49,,245,,,6.45,,0.19,,3,5
8,Manchester City,38,13,13,12,47,39,8,52,1.37,"45,192",25,27.3,,38,418,,,45,33,40,5,6,44,3,1.18,0.87,2.05,1.05,1.92,1,38,38,"3,420",,39,1.03,195,156,80,13,13,12,11,28.9,25,,45,,213,,,5.61,,0.19,,5,6
3,Manchester Utd,38,22,11,5,58,26,32,77,2.03,"67,871",24,26.1,,38,416,,,57,45,54,3,4,56,5,1.5,1.18,2.68,1.42,2.61,2,38,38,"3,420",,26,0.68,106,80,75.5,22,11,5,19,50,24,,57,,337,,,8.87,,0.16,,3,4
7,Middlesbrough,38,14,13,11,53,46,7,55,1.45,"32,012",27,28.4,,38,418,,,49,39,48,1,1,54,2,1.29,1.03,2.32,1.26,2.29,3,38,38,"3,420",,46,1.21,213,167,78.4,14,13,11,11,28.9,27,,49,,242,,,6.37,,0.2,,1,1
14,Newcastle Utd,38,10,14,14,47,57,-10,44,1.16,"51,844",27,26,,38,435,,,44,32,41,3,3,63,5,1.16,0.84,2,1.08,1.92,2,38,38,"3,420",,57,1.5,236,179,75.8,10,14,14,6,15.8,27,,44,,240,,,6.32,,0.17,,3,3
19,Norwich City,38,7,12,19,42,77,-35,33,0.87,"24,326",25,27.6,,38,422,,,41,29,38,3,4,36,2,1.08,0.76,1.84,1,1.76,2,38,38,"3,420",,77,2.03,291,214,73.5,7,12,19,6,15.8,25,,41,,183,,,4.82,,0.21,,3,4
16,Portsmouth,38,10,9,19,43,59,-16,39,1.03,"20,072",26,27.6,,38,386,,,41,30,35,6,6,52,2,1.08,0.79,1.87,0.92,1.71,3,38,38,"3,420",,59,1.55,266,207,77.8,10,9,19,5,13.2,26,,41,,173,,,4.55,,0.2,,6,6
20,Southampton,38,6,14,18,45,66,-21,32,0.84,"30,610",35,28.4,,38,415,,,44,30,41,3,3,45,2,1.16,0.79,1.95,1.08,1.87,4,38,38,"3,420",,68,1.79,170,102,60,6,14,18,7,18.4,35,,44,,173,,,4.55,,0.24,,3,3
9,Tottenham,38,14,10,14,47,41,6,52,1.37,"35,873",28,24.7,,38,412,,,47,32,46,1,1,55,1,1.24,0.84,2.08,1.21,2.05,2,38,38,"3,420",,41,1.08,217,176,81.1,14,10,14,13,34.2,28,,47,,242,,,6.37,,0.19,,1,1
17,West Brom,38,6,16,16,36,61,-25,34,0.89,"25,987",27,27.2,,38,422,,,34,25,32,2,3,41,5,0.89,0.66,1.55,0.84,1.5,2,38,38,"3,420",,61,1.61,247,186,75.3,6,16,16,7,18.4,27,,34,,191,,,5.03,,0.17,,2,3
