Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Arsenal,38,26,12,0,73,26,47,90,2.37,"38,079",22,27.3,,38,419,,,69,52,62,7,7,51,3,1.82,1.37,3.18,1.63,3,1,38,38,"3,420",,26,0.68,114,88,77.2,26,12,0,15,39.5,22,,69,,235,,,6.18,,0.26,,7,7
6,Aston Villa,38,15,11,12,48,44,4,56,1.47,"36,622",23,25.7,,38,418,,,48,34,44,4,5,52,3,1.26,0.89,2.16,1.16,2.05,2,38,38,"3,420",,44,1.16,173,129,74.6,15,11,12,12,31.6,23,,48,,182,,,4.79,,0.24,,4,5
10,Birmingham City,38,12,14,12,43,48,-5,50,1.32,"29,073",27,27.4,,38,428,,,43,29,39,4,5,45,5,1.13,0.76,1.89,1.03,1.79,2,38,38,"3,420",,48,1.26,183,135,73.8,12,14,12,15,39.5,27,,43,,161,,,4.24,,0.24,,4,5
15,Blackburn,38,12,8,18,51,59,-8,44,1.16,"24,376",28,28.2,,38,412,,,52,39,52,0,0,58,3,1.37,1.03,2.39,1.37,2.39,2,38,38,"3,420",,59,1.55,201,142,70.6,12,8,18,8,21.1,28,,52,,184,,,4.84,,0.28,,0,0
8,Bolton,38,14,11,13,48,56,-8,53,1.39,"26,795",24,28.5,,38,433,,,47,35,46,1,1,63,0,1.24,0.92,2.16,1.21,2.13,1,38,38,"3,420",,56,1.47,182,126,69.2,14,11,13,10,26.3,24,,47,,212,,,5.58,,0.22,,1,1
7,Charlton Ath,38,14,11,13,51,51,0,53,1.39,"26,293",24,28.2,,38,406,,,50,29,44,6,8,35,3,1.32,0.76,2.08,1.16,1.92,2,38,38,"3,420",,51,1.34,205,154,75.1,14,11,13,10,26.3,24,,50,,154,,,4.05,,0.29,,6,8
2,Chelsea,38,24,7,7,67,30,37,79,2.08,"41,234",27,25.9,,38,438,,,67,58,63,4,4,44,3,1.76,1.53,3.29,1.66,3.18,3,38,38,"3,420",,30,0.79,125,95,76,24,7,7,21,55.3,27,,67,,216,,,5.68,,0.29,,4,4
17,Everton,38,9,12,17,45,57,-12,39,1.03,"38,837",26,27.3,,38,414,,,42,31,41,1,1,53,3,1.11,0.82,1.92,1.08,1.89,3,38,38,"3,330",,57,1.54,190,133,70,9,12,17,10,26.3,26,,42,,160,,,4.21,,0.26,,1,1
9,Fulham,38,14,10,14,52,46,6,52,1.37,"16,342",30,27.1,,38,421,,,52,32,50,2,3,59,3,1.37,0.84,2.21,1.32,2.16,2,38,38,"3,330",,46,1.24,207,161,77.8,14,10,14,15,39.5,30,,52,,154,,,4.05,,0.32,,2,3
19,Leeds United,38,8,9,21,40,79,-39,33,0.87,"36,666",29,25.2,,38,404,,,40,28,36,4,4,70,5,1.05,0.74,1.79,0.95,1.68,2,38,38,"3,420",,79,2.08,215,136,63.3,8,9,21,3,7.9,29,,40,,134,,,3.53,,0.27,,4,4
