Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
18,Leicester City,38,6,15,17,48,65,-17,33,0.87,"30,893",28,29.4,,38,391,,,45,37,43,2,3,58,8,1.18,0.97,2.16,1.13,2.11,2,38,38,"3,420",,65,1.71,210,145,69,6,15,17,9,23.7,28,,45,,168,,,4.42,,0.26,,2,3
4,Liverpool,38,16,12,10,55,37,18,60,1.58,"42,677",24,26,,38,408,,,53,36,45,8,10,46,1,1.39,0.95,2.34,1.18,2.13,3,38,38,"3,240",,35,0.97,139,104,74.8,16,12,10,15,39.5,24,,53,,221,,,5.82,,0.2,,8,10
16,Manchester City,38,9,14,15,55,54,1,41,1.08,"46,834",24,27.9,,38,418,,,52,37,48,4,4,46,3,1.37,0.97,2.34,1.26,2.24,3,38,38,"3,420",,54,1.42,184,130,70.7,9,14,15,7,18.4,24,,52,,198,,,5.21,,0.24,,4,4
3,Manchester Utd,38,23,6,9,64,35,29,75,1.97,"67,641",22,25.8,,38,418,,,63,54,62,1,4,42,3,1.66,1.42,3.08,1.63,3.05,2,38,38,"3,330",,35,0.95,163,128,78.5,23,6,9,14,36.8,22,,63,,182,,,4.79,,0.34,,1,4
11,Middlesbrough,38,13,9,16,44,52,-8,48,1.26,"30,418",27,27.6,,38,418,,,42,28,39,3,5,52,1,1.11,0.74,1.84,1.03,1.76,3,38,38,"3,420",,52,1.37,182,130,71.4,13,9,16,14,36.8,27,,42,,182,,,4.79,,0.21,,3,5
5,Newcastle Utd,38,13,17,8,52,40,12,56,1.47,"51,440",23,25.7,,38,429,,,53,33,46,7,10,47,3,1.39,0.87,2.26,1.21,2.08,1,38,38,"3,420",,40,1.05,171,131,76.6,13,17,8,11,28.9,23,,53,,178,,,4.68,,0.26,,7,10
13,Portsmouth,38,12,9,17,47,54,-7,45,1.18,"20,108",32,28.5,,38,433,,,49,31,46,3,3,60,3,1.29,0.82,2.11,1.21,2.03,3,38,38,"3,420",,54,1.42,192,138,71.9,12,9,17,8,21.1,32,,49,,167,,,4.39,,0.28,,3,3
12,Southampton,38,12,11,15,44,45,-1,47,1.24,"31,699",27,27.9,,38,403,,,43,27,41,2,2,51,3,1.13,0.71,1.84,1.08,1.79,2,38,38,"2,700",,39,1.3,179,140,78.2,12,11,15,12,31.6,27,,43,,175,,,4.61,,0.23,,2,2
14,Tottenham,38,13,6,19,47,57,-10,45,1.18,"34,876",27,26.3,,38,407,,,47,33,44,3,3,45,0,1.24,0.87,2.11,1.16,2.03,1,38,38,"3,420",,57,1.5,198,141,71.2,13,6,19,8,21.1,27,,47,,186,,,4.89,,0.24,,3,3
20,Wolves,38,7,12,19,38,77,-39,33,0.87,"28,874",27,29.8,,38,428,,,39,25,38,1,4,65,2,1.03,0.66,1.68,1,1.66,3,38,38,"4,320",,85,1.77,283,198,70,7,12,19,7,18.4,27,,39,,177,,,4.66,,0.21,,1,4
