"Year","Pts","Attendance","Players.Used","Age","Poss","PK","PKatt","CrdY","CrdR","SoTA","Saves","Save_Pct","CS","CS_Pct","PKatt_A","Sh","SoT","SoT_Pct","Sh_Per_90","SoT_Per_90","G_Per_Sht","G_Per_SoT","Dist","PK_A","Squad.Year","PKsv","PKm","Squad"
2000,42,25697,34,27,NA,4,4,70,2,180,132,73.3,13,34.2,NA,NA,217,NA,NA,5.71,NA,0.19,NA,4,"West Ham 2000",NA,NA,"NA"
2000,42,34130,31,27,NA,5,7,78,4,172,113,65.7,8,21.1,NA,NA,189,NA,NA,4.97,NA,0.21,NA,5,"Everton 2000",NA,NA,"NA"
2000,42,28550,31,25.2,NA,2,3,79,3,219,158,72.1,9,23.7,NA,NA,145,NA,NA,3.82,NA,0.23,NA,2,"Derby County 2000",NA,NA,"NA"
2000,34,34058,30,26.1,NA,2,2,68,3,204,139,68.1,7,18.4,NA,NA,165,NA,NA,4.34,NA,0.22,NA,2,"Manchester City 2000",NA,NA,"NA"
2000,34,20582,28,25.7,NA,3,3,76,2,220,157,71.4,6,15.8,NA,NA,160,NA,NA,4.21,NA,0.19,NA,3,"Coventry City 2000",NA,NA,"NA"
2000,26,18510,27,30.4,NA,3,5,58,1,275,202,73.5,6,15.8,NA,NA,123,NA,NA,3.24,NA,0.19,NA,3,"Bradford City 2000",NA,NA,"NA"
2001,87,38055,25,27.3,NA,6,7,77,6,178,142,79.8,14,36.8,NA,NA,292,NA,NA,7.68,NA,0.25,NA,6,"Arsenal 2001",NA,NA,"NA"
2001,80,43389,27,25.5,NA,1,3,45,2,156,126,80.8,18,47.4,NA,NA,262,NA,NA,6.89,NA,0.24,NA,1,"Liverpool 2001",NA,NA,"NA"
2001,77,67558,28,27.5,NA,5,5,53,1,168,124,73.8,13,34.2,NA,NA,289,NA,NA,7.61,NA,0.26,NA,5,"Manchester Utd 2001",NA,NA,"NA"
2001,71,51373,22,25.5,NA,5,7,48,2,225,173,76.9,9,23.7,NA,NA,265,NA,NA,6.97,NA,0.25,NA,5,"Newcastle Utd 2001",NA,NA,"NA"
2001,66,39752,21,25.9,NA,1,2,70,5,195,158,81,18,47.4,NA,NA,267,NA,NA,7.03,NA,0.2,NA,1,"Leeds United 2001",NA,NA,"NA"
2001,64,39030,25,26.8,NA,3,3,63,2,192,154,80.2,15,39.5,NA,NA,237,NA,NA,6.24,NA,0.26,NA,3,"Chelsea 2001",NA,NA,"NA"
2001,53,31570,28,27.4,NA,4,5,67,3,215,158,73.5,13,34.2,NA,NA,210,NA,NA,5.53,NA,0.21,NA,4,"West Ham 2001",NA,NA,"NA"
2001,50,35012,22,27.2,NA,2,2,41,2,193,146,75.6,9,23.7,NA,NA,202,NA,NA,5.32,NA,0.21,NA,2,"Aston Villa 2001",NA,NA,"NA"
2001,50,35001,24,28.9,NA,3,3,59,4,199,146,73.4,8,21.1,NA,NA,212,NA,NA,5.58,NA,0.21,NA,3,"Tottenham 2001",NA,NA,"NA"
2001,46,25973,25,27.2,NA,1,1,57,4,250,199,79.6,8,21.1,NA,NA,253,NA,NA,6.66,NA,0.21,NA,1,"Blackburn 2001",NA,NA,"NA"
2001,45,30633,29,27.5,NA,4,4,33,3,204,150,73.5,9,23.7,NA,NA,168,NA,NA,4.42,NA,0.23,NA,4,"Southampton 2001",NA,NA,"NA"
2001,45,28459,34,28.1,NA,2,3,54,7,249,202,81.1,12,31.6,NA,NA,142,NA,NA,3.74,NA,0.22,NA,2,"Middlesbrough 2001",NA,NA,"NA"
2001,44,19389,24,27.7,NA,1,3,53,1,207,163,78.7,15,39.5,NA,NA,180,NA,NA,4.74,NA,0.19,NA,1,"Fulham 2001",NA,NA,"NA"
2001,44,24165,25,26.6,NA,0,1,63,3,223,174,78,12,31.6,NA,NA,212,NA,NA,5.58,NA,0.17,NA,0,"Charlton Ath 2001",NA,NA,"NA"
2001,43,33582,28,28,NA,3,3,58,4,241,184,76.3,11,28.9,NA,NA,213,NA,NA,5.61,NA,0.19,NA,3,"Everton 2001",NA,NA,"NA"
2001,40,25098,30,28.5,NA,0,1,57,6,248,186,75,7,18.4,NA,NA,205,NA,NA,5.39,NA,0.2,NA,0,"Bolton 2001",NA,NA,"NA"
2001,40,46744,25,26.6,NA,1,3,66,1,229,178,77.7,11,28.9,NA,NA,190,NA,NA,5,NA,0.15,NA,1,"Sunderland 2001",NA,NA,"NA"
2001,36,24426,26,27.2,NA,1,3,42,1,224,160,71.4,8,21.1,NA,NA,231,NA,NA,6.08,NA,0.17,NA,1,"Ipswich Town 2001",NA,NA,"NA"
2001,30,29785,32,26.1,NA,2,5,71,2,248,185,74.6,7,18.4,NA,NA,163,NA,NA,4.29,NA,0.19,NA,2,"Derby County 2001",NA,NA,"NA"
2001,28,19835,33,27.3,NA,2,4,74,3,242,178,73.6,7,18.4,NA,NA,167,NA,NA,4.39,NA,0.16,NA,2,"Leicester City 2001",NA,NA,"NA"
2002,83,67602,26,27,NA,9,9,39,1,122,88,72.1,13,34.2,9,NA,235,NA,NA,6.18,NA,0.27,NA,9,"Manchester Utd 2002",NA,NA,"NA"
2002,78,38042,28,27.8,NA,5,6,47,2,147,105,71.4,10,26.3,6,NA,259,NA,NA,6.82,NA,0.31,NA,5,"Arsenal 2002",NA,NA,"NA"
2002,69,51923,25,24.9,NA,3,4,40,2,179,131,73.2,14,36.8,4,NA,221,NA,NA,5.82,NA,0.27,NA,3,"Newcastle Utd 2002",NA,NA,"NA"
2002,67,39784,23,27.8,NA,3,3,54,1,156,118,75.6,13,34.2,3,NA,222,NA,NA,5.84,NA,0.29,NA,3,"Chelsea 2002",NA,NA,"NA"
2002,64,43243,23,24.9,NA,4,6,35,1,146,105,71.9,14,36.8,6,NA,209,NA,NA,5.5,NA,0.27,NA,4,"Liverpool 2002",NA,NA,"NA"
2002,60,26226,28,27.7,NA,5,6,55,4,207,164,79.2,15,39.5,6,NA,174,NA,NA,4.58,NA,0.26,NA,5,"Blackburn 2002",NA,NA,"NA"
2002,59,38491,28,27.4,NA,4,4,39,5,173,124,71.7,11,28.9,4,NA,182,NA,NA,4.79,NA,0.24,NA,4,"Everton 2002",NA,NA,"NA"
2002,52,30680,25,27.2,NA,6,6,33,3,197,151,76.6,13,34.2,6,NA,191,NA,NA,5.03,NA,0.19,NA,6,"Southampton 2002",NA,NA,"NA"
2002,51,34565,26,27.8,NA,2,2,40,5,184,130,70.7,10,26.3,2,NA,168,NA,NA,4.42,NA,0.27,NA,2,"Manchester City 2002",NA,NA,"NA"
2002,50,35897,24,28,NA,3,3,50,4,210,148,70.5,5,13.2,3,NA,166,NA,NA,4.37,NA,0.28,NA,3,"Tottenham 2002",NA,NA,"NA"
2002,49,31105,29,26.4,NA,2,3,43,4,184,140,76.1,10,26.3,3,NA,139,NA,NA,3.66,NA,0.33,NA,2,"Middlesbrough 2002",NA,NA,"NA"
2002,49,26256,26,27,NA,4,5,47,1,190,134,70.5,8,21.1,5,NA,156,NA,NA,4.11,NA,0.25,NA,4,"Charlton Ath 2002",NA,NA,"NA"
2002,48,28831,33,27.9,NA,4,5,66,3,171,122,71.3,9,23.7,5,NA,141,NA,NA,3.71,NA,0.26,NA,4,"Birmingham City 2002",NA,NA,"NA"
2002,48,16707,27,27.3,NA,6,7,46,6,197,147,74.6,11,28.9,7,NA,182,NA,NA,4.79,NA,0.18,NA,6,"Fulham 2002",NA,NA,"NA"
2002,47,39120,28,25.8,NA,4,5,62,1,188,131,69.7,10,26.3,5,NA,176,NA,NA,4.63,NA,0.28,NA,4,"Leeds United 2002",NA,NA,"NA"
2002,45,34975,27,26.2,NA,3,4,58,4,176,129,73.3,9,23.7,4,NA,196,NA,NA,5.16,NA,0.2,NA,3,"Aston Villa 2002",NA,NA,"NA"
2002,44,25017,27,29.1,NA,1,2,54,3,189,138,73,10,26.3,2,NA,152,NA,NA,4,NA,0.24,NA,1,"Bolton 2002",NA,NA,"NA"
2002,42,34432,24,27.4,NA,4,5,49,4,198,139,70.2,9,23.7,5,NA,185,NA,NA,4.87,NA,0.2,NA,4,"West Ham 2002",NA,NA,"NA"
2002,26,26731,23,27.2,NA,1,1,45,4,208,143,68.8,6,15.8,1,NA,167,NA,NA,4.39,NA,0.17,NA,1,"West Brom 2002",NA,NA,"NA"
2002,19,39698,34,26,NA,1,3,47,0,210,145,69,6,15.8,3,NA,142,NA,NA,3.74,NA,0.14,NA,1,"Sunderland 2002",NA,NA,"NA"
2003,90,38079,22,27.3,NA,7,7,51,3,114,88,77.2,15,39.5,7,NA,235,NA,NA,6.18,NA,0.26,NA,7,"Arsenal 2003",NA,NA,"NA"
2003,79,41234,27,25.9,NA,4,4,44,3,125,95,76,21,55.3,4,NA,216,NA,NA,5.68,NA,0.29,NA,4,"Chelsea 2003",NA,NA,"NA"
2003,75,67641,22,25.8,NA,1,4,42,3,163,128,78.5,14,36.8,4,NA,182,NA,NA,4.79,NA,0.34,NA,1,"Manchester Utd 2003",NA,NA,"NA"
2003,60,42677,24,26,NA,8,10,46,1,139,104,74.8,15,39.5,10,NA,221,NA,NA,5.82,NA,0.2,NA,8,"Liverpool 2003",NA,NA,"NA"
2003,56,51440,23,25.7,NA,7,10,47,3,171,131,76.6,11,28.9,10,NA,178,NA,NA,4.68,NA,0.26,NA,7,"Newcastle Utd 2003",NA,NA,"NA"
2003,56,36622,23,25.7,NA,4,5,52,3,173,129,74.6,12,31.6,5,NA,182,NA,NA,4.79,NA,0.24,NA,4,"Aston Villa 2003",NA,NA,"NA"
2003,53,26293,24,28.2,NA,6,8,35,3,205,154,75.1,10,26.3,8,NA,154,NA,NA,4.05,NA,0.29,NA,6,"Charlton Ath 2003",NA,NA,"NA"
2003,53,26795,24,28.5,NA,1,1,63,0,182,126,69.2,10,26.3,1,NA,212,NA,NA,5.58,NA,0.22,NA,1,"Bolton 2003",NA,NA,"NA"
2003,52,16342,30,27.1,NA,2,3,59,3,207,161,77.8,15,39.5,3,NA,154,NA,NA,4.05,NA,0.32,NA,2,"Fulham 2003",NA,NA,"NA"
2003,50,29073,27,27.4,NA,4,5,45,5,183,135,73.8,15,39.5,5,NA,161,NA,NA,4.24,NA,0.24,NA,4,"Birmingham City 2003",NA,NA,"NA"
2003,48,30418,27,27.6,NA,3,5,52,1,182,130,71.4,14,36.8,5,NA,182,NA,NA,4.79,NA,0.21,NA,3,"Middlesbrough 2003",NA,NA,"NA"
2003,47,31699,27,27.9,NA,2,2,51,3,179,140,78.2,12,31.6,2,NA,175,NA,NA,4.61,NA,0.23,NA,2,"Southampton 2003",NA,NA,"NA"
2003,45,20108,32,28.5,NA,3,3,60,3,192,138,71.9,8,21.1,3,NA,167,NA,NA,4.39,NA,0.28,NA,3,"Portsmouth 2003",NA,NA,"NA"
2003,45,34876,27,26.3,NA,3,3,45,0,198,141,71.2,8,21.1,3,NA,186,NA,NA,4.89,NA,0.24,NA,3,"Tottenham 2003",NA,NA,"NA"
2003,44,24376,28,28.2,NA,0,0,58,3,201,142,70.6,8,21.1,0,NA,184,NA,NA,4.84,NA,0.28,NA,0,"Blackburn 2003",NA,NA,"NA"
2003,41,46834,24,27.9,NA,4,4,46,3,184,130,70.7,7,18.4,4,NA,198,NA,NA,5.21,NA,0.24,NA,4,"Manchester City 2003",NA,NA,"NA"
2003,39,38837,26,27.3,NA,1,1,53,3,190,133,70,10,26.3,1,NA,160,NA,NA,4.21,NA,0.26,NA,1,"Everton 2003",NA,NA,"NA"
2003,33,30893,28,29.4,NA,2,3,58,8,210,145,69,9,23.7,3,NA,168,NA,NA,4.42,NA,0.26,NA,2,"Leicester City 2003",NA,NA,"NA"
2003,33,36666,29,25.2,NA,4,4,70,5,215,136,63.3,3,7.9,4,NA,134,NA,NA,3.53,NA,0.27,NA,4,"Leeds United 2003",NA,NA,"NA"
2003,33,28874,27,29.8,NA,1,4,65,2,283,198,70,7,18.4,4,NA,177,NA,NA,4.66,NA,0.21,NA,1,"Wolves 2003",NA,NA,"NA"
2004,95,41870,30,25.2,NA,5,6,49,0,112,97,86.6,25,65.8,6,NA,310,NA,NA,8.16,NA,0.21,NA,5,"Chelsea 2004",NA,NA,"NA"
2004,83,37979,25,26.2,NA,3,4,46,1,146,110,75.3,16,42.1,4,NA,301,NA,NA,7.92,NA,0.28,NA,3,"Arsenal 2004",NA,NA,"NA"
2004,77,67871,24,26.1,NA,3,4,56,5,106,80,75.5,19,50,4,NA,337,NA,NA,8.87,NA,0.16,NA,3,"Manchester Utd 2004",NA,NA,"NA"
2004,61,36834,21,28.5,NA,2,3,56,4,194,148,76.3,13,34.2,3,NA,173,NA,NA,4.55,NA,0.25,NA,2,"Everton 2004",NA,NA,"NA"
2004,58,42587,28,26.2,NA,3,5,46,2,171,130,76,7,18.4,5,NA,245,NA,NA,6.45,NA,0.19,NA,3,"Liverpool 2004",NA,NA,"NA"
2004,58,26006,25,28.6,NA,5,6,58,2,179,135,75.4,8,21.1,6,NA,260,NA,NA,6.84,NA,0.17,NA,5,"Bolton 2004",NA,NA,"NA"
2004,55,32012,27,28.4,NA,1,1,54,2,213,167,78.4,11,28.9,1,NA,242,NA,NA,6.37,NA,0.2,NA,1,"Middlesbrough 2004",NA,NA,"NA"
2004,52,45192,25,27.3,NA,5,6,44,3,195,156,80,11,28.9,6,NA,213,NA,NA,5.61,NA,0.19,NA,5,"Manchester City 2004",NA,NA,"NA"
2004,52,35873,28,24.7,NA,1,1,55,1,217,176,81.1,13,34.2,1,NA,242,NA,NA,6.37,NA,0.19,NA,1,"Tottenham 2004",NA,NA,"NA"
2004,47,37354,22,25.7,NA,3,6,55,2,236,184,78,11,28.9,6,NA,213,NA,NA,5.61,NA,0.19,NA,3,"Aston Villa 2004",NA,NA,"NA"
2004,46,26401,21,28,NA,0,0,38,4,232,174,75,12,31.6,0,NA,171,NA,NA,4.5,NA,0.24,NA,0,"Charlton Ath 2004",NA,NA,"NA"
2004,45,28760,26,27.9,NA,2,2,62,3,212,166,78.3,9,23.7,2,NA,158,NA,NA,4.16,NA,0.22,NA,2,"Birmingham City 2004",NA,NA,"NA"
2004,44,19838,24,27.7,NA,2,4,56,7,258,198,76.7,8,21.1,4,NA,187,NA,NA,4.92,NA,0.27,NA,2,"Fulham 2004",NA,NA,"NA"
2004,44,51844,27,26,NA,3,3,63,5,236,179,75.8,6,15.8,3,NA,240,NA,NA,6.32,NA,0.17,NA,3,"Newcastle Utd 2004",NA,NA,"NA"
2004,42,22315,31,27.8,NA,2,3,73,5,227,184,81.1,15,39.5,3,NA,196,NA,NA,5.16,NA,0.15,NA,2,"Blackburn 2004",NA,NA,"NA"
2004,39,20072,26,27.6,NA,6,6,52,2,266,207,77.8,5,13.2,6,NA,173,NA,NA,4.55,NA,0.2,NA,6,"Portsmouth 2004",NA,NA,"NA"
2004,34,25987,27,27.2,NA,2,3,41,5,247,186,75.3,7,18.4,3,NA,191,NA,NA,5.03,NA,0.17,NA,2,"West Brom 2004",NA,NA,"NA"
2004,33,24108,27,25.7,NA,10,12,58,3,291,229,78.7,10,26.3,12,NA,191,NA,NA,5.03,NA,0.17,NA,10,"Crystal Palace 2004",NA,NA,"NA"
2004,33,24326,25,27.6,NA,3,4,36,2,291,214,73.5,6,15.8,4,NA,183,NA,NA,4.82,NA,0.21,NA,3,"Norwich City 2004",NA,NA,"NA"
2004,32,30610,35,28.4,NA,3,3,45,2,170,102,60,7,18.4,3,NA,173,NA,NA,4.55,NA,0.24,NA,3,"Southampton 2004",NA,NA,"NA"
2005,91,41902,25,25.9,NA,4,4,64,5,154,132,85.7,20,52.6,4,NA,279,NA,NA,7.34,NA,0.24,NA,4,"Chelsea 2005",NA,NA,"NA"
2005,83,68765,26,26.4,NA,2,3,61,2,187,153,81.8,18,47.4,3,NA,286,NA,NA,7.53,NA,0.23,NA,2,"Manchester Utd 2005",NA,NA,"NA"
2005,82,44236,22,26.3,NA,4,5,50,5,163,138,84.7,22,57.9,5,NA,283,NA,NA,7.45,NA,0.18,NA,4,"Liverpool 2005",NA,NA,"NA"
2005,67,38184,27,26.2,NA,4,7,55,2,169,138,81.7,16,42.1,7,NA,275,NA,NA,7.24,NA,0.23,NA,4,"Arsenal 2005",NA,NA,"NA"
2005,65,36074,25,24.9,NA,4,6,51,5,165,127,77,13,34.2,6,NA,231,NA,NA,6.08,NA,0.21,NA,4,"Tottenham 2005",NA,NA,"NA"
2005,63,21015,23,27.9,NA,4,4,78,6,185,143,77.3,16,42.1,4,NA,181,NA,NA,4.76,NA,0.25,NA,4,"Blackburn 2005",NA,NA,"NA"
2005,58,52032,25,26.8,NA,5,5,64,6,175,133,76,13,34.2,5,NA,209,NA,NA,5.5,NA,0.19,NA,5,"Newcastle Utd 2005",NA,NA,"NA"
2005,56,25455,24,28,NA,2,4,64,3,188,147,78.2,15,39.5,4,NA,204,NA,NA,5.37,NA,0.22,NA,2,"Bolton 2005",NA,NA,"NA"
2005,55,33743,28,26,NA,3,5,50,2,219,164,74.9,9,23.7,5,NA,164,NA,NA,4.32,NA,0.27,NA,3,"West Ham 2005",NA,NA,"NA"
2005,51,20610,25,28.3,NA,1,1,54,4,201,149,74.1,10,26.3,1,NA,211,NA,NA,5.55,NA,0.2,NA,1,"Wigan Athletic 2005",NA,NA,"NA"
2005,50,36860,27,28,NA,1,3,66,7,231,173,74.9,13,34.2,3,NA,206,NA,NA,5.42,NA,0.15,NA,1,"Everton 2005",NA,NA,"NA"
2005,48,20654,27,27.9,NA,4,4,65,2,226,168,74.3,10,26.3,4,NA,180,NA,NA,4.74,NA,0.24,NA,4,"Fulham 2005",NA,NA,"NA"
2005,47,26196,27,27.9,NA,4,4,44,2,211,164,77.7,13,34.2,4,NA,189,NA,NA,4.97,NA,0.2,NA,4,"Charlton Ath 2005",NA,NA,"NA"
2005,45,28463,37,26.5,NA,5,5,54,3,222,164,73.9,10,26.3,5,NA,211,NA,NA,5.55,NA,0.2,NA,5,"Middlesbrough 2005",NA,NA,"NA"
2005,43,42056,26,27.3,NA,1,2,70,4,206,158,76.7,6,15.8,2,NA,206,NA,NA,5.42,NA,0.2,NA,1,"Manchester City 2005",NA,NA,"NA"
2005,42,34112,26,25.2,NA,1,4,63,2,251,196,78.1,11,28.9,4,NA,189,NA,NA,4.97,NA,0.21,NA,1,"Aston Villa 2005",NA,NA,"NA"
2005,38,19840,33,26.7,NA,2,2,55,1,194,133,68.6,5,13.2,2,NA,227,NA,NA,5.97,NA,0.15,NA,2,"Portsmouth 2005",NA,NA,"NA"
2005,34,27392,30,28,NA,2,2,53,7,222,172,77.5,10,26.3,2,NA,171,NA,NA,4.5,NA,0.14,NA,2,"Birmingham City 2005",NA,NA,"NA"
2005,30,25404,29,26.4,NA,1,2,47,2,245,189,77.1,10,26.3,2,NA,155,NA,NA,4.08,NA,0.19,NA,1,"West Brom 2005",NA,NA,"NA"
2005,15,33904,27,24.8,NA,2,2,69,4,277,208,75.1,4,10.5,2,NA,180,NA,NA,4.74,NA,0.12,NA,2,"Sunderland 2005",NA,NA,"NA"
2006,89,75826,25,27.3,NA,5,6,58,1,176,149,84.7,16,42.1,6,NA,300,NA,NA,7.89,NA,0.25,NA,5,"Manchester Utd 2006",NA,NA,"NA"
2006,83,41542,26,26.7,NA,3,4,65,4,175,151,86.3,22,57.9,4,NA,235,NA,NA,6.18,NA,0.23,NA,3,"Chelsea 2006",NA,NA,"NA"
2006,68,43561,28,26.1,NA,6,7,43,0,173,146,84.4,20,52.6,7,NA,249,NA,NA,6.55,NA,0.2,NA,6,"Liverpool 2006",NA,NA,"NA"
2006,68,60140,24,25.1,NA,10,11,51,3,177,142,80.2,12,31.6,11,NA,249,NA,NA,6.55,NA,0.2,NA,10,"Arsenal 2006",NA,NA,"NA"
2006,60,35739,26,25.1,NA,5,5,51,4,196,142,72.4,6,15.8,5,NA,214,NA,NA,5.63,NA,0.24,NA,5,"Tottenham 2006",NA,NA,"NA"
2006,58,36739,24,26.9,NA,8,8,70,2,221,185,83.7,14,36.8,8,NA,200,NA,NA,5.26,NA,0.21,NA,8,"Everton 2006",NA,NA,"NA"
2006,56,23606,23,28.2,NA,6,7,84,4,216,164,75.9,12,31.6,7,NA,195,NA,NA,5.13,NA,0.2,NA,6,"Bolton 2006",NA,NA,"NA"
2006,55,23829,23,26.9,NA,3,3,41,3,223,176,78.9,13,34.2,3,NA,167,NA,NA,4.39,NA,0.27,NA,3,"Reading 2006",NA,NA,"NA"
2006,54,19862,22,28.4,NA,2,3,51,1,214,172,80.4,12,31.6,3,NA,195,NA,NA,5.13,NA,0.19,NA,2,"Portsmouth 2006",NA,NA,"NA"
2006,52,21271,28,28.2,NA,5,7,81,8,277,223,80.5,8,21.1,7,NA,211,NA,NA,5.55,NA,0.21,NA,5,"Blackburn 2006",NA,NA,"NA"
2006,50,36214,30,25.5,NA,6,8,47,1,207,166,80.2,13,34.2,8,NA,228,NA,NA,6,NA,0.17,NA,6,"Aston Villa 2006",NA,NA,"NA"
2006,46,27730,27,25.4,NA,4,5,65,2,234,185,79.1,9,23.7,5,NA,169,NA,NA,4.45,NA,0.23,NA,4,"Middlesbrough 2006",NA,NA,"NA"
2006,43,50686,29,26.1,NA,5,5,69,1,224,177,79,7,18.4,5,NA,182,NA,NA,4.79,NA,0.18,NA,5,"Newcastle Utd 2006",NA,NA,"NA"
2006,42,39997,28,26,NA,2,4,58,4,199,155,77.9,14,36.8,4,NA,179,NA,NA,4.71,NA,0.15,NA,2,"Manchester City 2006",NA,NA,"NA"
2006,41,34722,29,25.6,NA,1,3,86,2,239,180,75.3,9,23.7,3,NA,149,NA,NA,3.92,NA,0.23,NA,1,"West Ham 2006",NA,NA,"NA"
2006,39,22279,24,28.2,NA,3,3,60,3,237,177,74.7,7,18.4,3,NA,177,NA,NA,4.66,NA,0.19,NA,3,"Fulham 2006",NA,NA,"NA"
2006,38,18159,29,27.7,NA,3,6,81,3,236,176,74.6,10,26.3,6,NA,188,NA,NA,4.95,NA,0.18,NA,3,"Wigan Athletic 2006",NA,NA,"NA"
2006,38,30684,32,26,NA,2,4,71,2,236,181,76.7,9,23.7,4,NA,193,NA,NA,5.08,NA,0.15,NA,2,"Sheffield Utd 2006",NA,NA,"NA"
2006,34,26195,29,27.1,NA,4,4,60,4,247,187,75.7,11,28.9,4,NA,172,NA,NA,4.53,NA,0.16,NA,4,"Charlton Ath 2006",NA,NA,"NA"
2006,28,18750,32,25.2,NA,3,3,48,2,272,213,78.3,9,23.7,3,NA,144,NA,NA,3.79,NA,0.15,NA,3,"Watford 2006",NA,NA,"NA"
2007,87,75691,25,26.7,NA,6,8,51,2,150,128,85.3,21,55.3,NA,NA,301,NA,NA,7.92,NA,0.24,NA,6,"Manchester Utd 2007",NA,NA,"NA"
2007,85,41397,26,27.1,NA,7,7,65,5,142,116,81.7,21,55.3,NA,NA,207,NA,NA,5.45,NA,0.28,NA,7,"Chelsea 2007",NA,NA,"NA"
2007,83,60070,27,24.6,NA,5,6,57,3,155,124,80,15,39.5,NA,NA,250,NA,NA,6.58,NA,0.27,NA,5,"Arsenal 2007",NA,NA,"NA"
2007,76,43532,25,26.2,NA,5,5,46,1,138,110,79.7,18,47.4,NA,NA,266,NA,NA,7,NA,0.22,NA,5,"Liverpool 2007",NA,NA,"NA"
2007,65,36955,23,26.9,NA,1,1,40,3,176,143,81.3,14,36.8,NA,NA,190,NA,NA,5,NA,0.27,NA,1,"Everton 2007",NA,NA,"NA"
2007,60,40345,22,25.5,NA,6,7,56,4,170,119,70,9,23.7,NA,NA,200,NA,NA,5.26,NA,0.3,NA,6,"Aston Villa 2007",NA,NA,"NA"
2007,58,23944,22,28,NA,5,6,74,6,201,153,76.1,8,21.1,NA,NA,219,NA,NA,5.76,NA,0.21,NA,5,"Blackburn 2007",NA,NA,"NA"
2007,57,19914,28,28.2,NA,4,7,58,3,205,165,80.5,16,42.1,NA,NA,185,NA,NA,4.87,NA,0.23,NA,4,"Portsmouth 2007",NA,NA,"NA"
2007,55,42126,28,24.5,NA,2,2,51,4,221,168,76,11,28.9,NA,NA,169,NA,NA,4.45,NA,0.24,NA,2,"Manchester City 2007",NA,NA,"NA"
2007,49,34601,28,26.5,NA,2,2,66,2,189,139,73.5,8,21.1,NA,NA,179,NA,NA,4.71,NA,0.21,NA,2,"West Ham 2007",NA,NA,"NA"
2007,46,35967,30,25.5,NA,4,6,52,1,206,145,70.4,9,23.7,NA,NA,236,NA,NA,6.21,NA,0.26,NA,4,"Tottenham 2007",NA,NA,"NA"
2007,43,50488,26,27,NA,4,4,66,1,256,191,74.6,8,21.1,NA,NA,174,NA,NA,4.58,NA,0.22,NA,4,"Newcastle Utd 2007",NA,NA,"NA"
2007,42,26708,29,25.7,NA,2,2,86,2,184,131,71.2,8,21.1,NA,NA,181,NA,NA,4.76,NA,0.23,NA,2,"Middlesbrough 2007",NA,NA,"NA"
2007,40,19046,27,27.7,NA,4,5,60,4,197,146,74.1,12,31.6,NA,NA,184,NA,NA,4.84,NA,0.16,NA,4,"Wigan Athletic 2007",NA,NA,"NA"
2007,39,43344,31,24.9,NA,1,2,67,4,182,123,67.6,7,18.4,NA,NA,153,NA,NA,4.03,NA,0.23,NA,1,"Sunderland 2007",NA,NA,"NA"
2007,37,20746,31,27.5,NA,0,1,76,0,207,153,73.9,12,31.6,NA,NA,162,NA,NA,4.26,NA,0.21,NA,0,"Bolton 2007",NA,NA,"NA"
2007,36,23773,33,28,NA,2,3,60,6,230,170,73.9,7,18.4,NA,NA,174,NA,NA,4.58,NA,0.2,NA,2,"Fulham 2007",NA,NA,"NA"
2007,36,23585,26,27.6,NA,2,4,61,5,254,188,74,8,21.1,NA,NA,183,NA,NA,4.82,NA,0.21,NA,2,"Reading 2007",NA,NA,"NA"
2007,35,26181,28,25.3,NA,6,6,68,3,266,204,76.7,3,7.9,NA,NA,178,NA,NA,4.68,NA,0.21,NA,6,"Birmingham City 2007",NA,NA,"NA"
2007,11,32432,36,27.6,NA,0,0,63,1,263,174,66.2,3,7.9,NA,NA,141,NA,NA,3.71,NA,0.13,NA,0,"Derby County 2007",NA,NA,"NA"
2008,90,75304,33,27.1,NA,4,4,61,5,138,114,82.6,24,63.2,NA,NA,272,NA,NA,7.16,NA,0.24,NA,4,"Manchester Utd 2008",NA,NA,"NA"
2008,86,43611,23,26.5,NA,5,6,50,0,122,95,77.9,20,52.6,NA,NA,269,NA,NA,7.08,NA,0.25,NA,5,"Liverpool 2008",NA,NA,"NA"
2008,83,41588,29,27.5,NA,2,2,50,2,144,120,83.3,22,57.9,NA,NA,285,NA,NA,7.5,NA,0.22,NA,2,"Chelsea 2008",NA,NA,"NA"
2008,72,60040,28,24.1,NA,5,5,58,3,149,112,75.2,16,42.1,NA,NA,231,NA,NA,6.08,NA,0.26,NA,5,"Arsenal 2008",NA,NA,"NA"
2008,63,35667,25,26.4,NA,4,5,49,1,186,149,80.1,17,44.7,NA,NA,200,NA,NA,5.26,NA,0.25,NA,4,"Everton 2008",NA,NA,"NA"
2008,62,39812,21,27.1,NA,4,5,53,2,186,138,74.2,13,34.2,NA,NA,180,NA,NA,4.74,NA,0.24,NA,4,"Aston Villa 2008",NA,NA,"NA"
2008,53,24340,26,28.8,NA,5,5,40,1,195,161,82.6,15,39.5,NA,NA,173,NA,NA,4.55,NA,0.2,NA,5,"Fulham 2008",NA,NA,"NA"
2008,51,35929,29,24.9,NA,3,4,54,5,203,158,77.8,13,34.2,NA,NA,209,NA,NA,5.5,NA,0.19,NA,3,"Tottenham 2008",NA,NA,"NA"
2008,51,34227,30,26.6,NA,1,3,66,4,197,152,77.2,10,26.3,NA,NA,180,NA,NA,4.74,NA,0.22,NA,1,"West Ham 2008",NA,NA,"NA"
