"Year","Pts","Attendance","Players.Used","Age","Poss","PK","PKatt","CrdY","CrdR","SoTA","Saves","Save_Pct","CS","CS_Pct","PKatt_A","Sh","SoT","SoT_Pct","Sh_Per_90","SoT_Per_90","G_Per_Sht","G_Per_SoT","Dist","PK_A","Squad.Year","PKsv","PKm","Squad"
2013,45,24375,31,28.1,NA,5,6,0,0,169,121,71.6,12,31.6,6,NA,142,NA,NA,3.74,NA,0.19,NA,5,"Crystal Palace 2013",NA,NA,"Crystal Palace"
2017,44,25063,28,27.1,45.3,8,10,NA,NA,167,116,68.3,9,23.7,2,466,133,28.5,12.26,3.5,0.08,0.27,17,8,"Crystal Palace 2017",0,0,"Crystal Palace"
2018,49,25455,26,27.4,45,10,11,58,2,159,108,69.2,12,31.6,5,488,133,27.3,12.84,3.5,0.08,0.29,17.2,10,"Crystal Palace 2018",1,0,"Crystal Palace"
2019,43,19784,25,29.4,44.5,3,3,62,2,169,120,70.4,10,26.3,1,372,116,31.2,9.79,3.05,0.07,0.22,16.5,3,"Crystal Palace 2019",0,1,"Crystal Palace"
2020,44,447,24,29.1,40.1,3,4,56,2,173,108,63.6,8,21.1,4,346,129,37.3,9.11,3.39,0.1,0.28,16.8,3,"Crystal Palace 2020",1,0,"Crystal Palace"
2021,48,24588,24,27.1,50.9,6,8,69,1,141,100,69.5,12,31.6,4,404,141,34.9,10.63,3.71,0.11,0.31,15.4,6,"Crystal Palace 2021",1,0,"Crystal Palace"
2013,72,37732,28,27.6,NA,3,3,0,0,148,109,73.6,15,39.5,3,NA,235,NA,NA,6.18,NA,0.23,NA,3,"Everton 2013",NA,NA,"Everton"
2017,49,38797,30,26.7,45.9,5,8,NA,NA,175,119,68.6,10,26.3,5,359,108,30.1,9.45,2.84,0.1,0.34,16.9,5,"Everton 2017",1,1,"Everton"
2018,54,39043,23,25.7,51.5,2,5,56,4,131,87,66.4,14,36.8,5,492,159,32.3,12.95,4.18,0.1,0.32,16.1,2,"Everton 2018",3,0,"Everton"
2019,49,28848,24,25.5,49.2,1,1,76,3,145,95,63.4,9,23.7,4,465,155,33.3,12.24,4.08,0.09,0.26,15.7,1,"Everton 2019",0,1,"Everton"
2020,59,368,29,26.3,46.5,4,5,59,2,158,111,71.5,12,31.6,4,395,144,36.5,10.39,3.79,0.1,0.28,16.4,4,"Everton 2020",0,1,"Everton"
2021,39,38446,33,26.7,39.7,6,7,82,6,184,125,65.2,8,21.1,2,431,127,29.5,11.34,3.34,0.08,0.28,17.1,6,"Everton 2021",0,0,"Everton"
2013,32,24977,39,29,NA,2,3,0,0,241,156,64.7,5,13.2,3,NA,149,NA,NA,3.92,NA,0.24,NA,2,"Fulham 2013",NA,NA,"Fulham"
2018,26,24371,28,26,48.6,2,3,70,2,219,141,65.3,5,13.2,7,444,135,30.4,11.68,3.55,0.07,0.23,18.3,2,"Fulham 2018",1,1,"Fulham"
2020,28,211,28,25.2,49.9,3,6,67,3,164,118,72,9,23.7,7,440,123,28,11.58,3.24,0.05,0.19,17.4,3,"Fulham 2020",0,0,"Fulham"
2017,37,24040,25,26.4,45.7,2,2,NA,NA,153,97,65.4,10,26.3,6,362,105,29,9.53,2.76,0.06,0.22,18.1,2,"Huddersfield 2017",2,0,"Huddersfield"
2018,16,23203,31,26.2,47,1,1,56,4,179,108,61.5,5,13.2,8,399,115,28.8,10.5,3.03,0.05,0.17,18.1,1,"Huddersfield 2018",1,0,"Huddersfield"
2013,37,24117,27,27.5,NA,2,3,0,0,164,111,67.7,10,26.3,3,NA,129,NA,NA,3.39,NA,0.26,NA,2,"Hull City 2013",NA,NA,"Hull City"
2020,59,421,23,26.1,57.6,4,4,61,1,189,144,75.7,12,31.6,9,524,196,37.4,13.79,5.16,0.11,0.29,16.2,4,"Leeds United 2020",1,0,"Leeds United"
2021,38,36308,29,26.1,52.5,5,5,101,3,219,143,66.2,5,13.2,5,485,142,29.3,12.76,3.74,0.08,0.26,17.7,5,"Leeds United 2021",0,0,"Leeds United"
2017,47,31583,27,27.2,47.9,5,6,NA,NA,161,104,64,9,23.7,4,418,137,32.8,11,3.61,0.11,0.35,17,5,"Leicester City 2017",2,0,"Leicester City"
2018,52,31851,25,25.9,51.1,5,7,60,5,134,91,67.9,10,26.3,5,507,173,34.1,13.34,4.55,0.08,0.25,17.7,5,"Leicester City 2018",0,0,"Leicester City"
2019,62,25312,24,26.1,57.6,5,7,43,3,126,95,73.8,13,34.2,10,533,181,34,14.03,4.76,0.11,0.33,16.7,5,"Leicester City 2019",2,0,"Leicester City"
2020,66,421,27,26.5,54.6,10,12,61,0,134,87,65.7,11,28.9,4,472,172,36.4,12.42,4.53,0.11,0.31,18,10,"Leicester City 2020",0,0,"Leicester City"
2021,52,32493,28,26.5,52.1,2,2,55,1,181,129,71.3,7,18.4,10,436,163,37.4,11.47,4.29,0.14,0.37,17.2,2,"Leicester City 2021",2,1,"Leicester City"
2013,84,44671,25,25.7,NA,10,12,0,0,152,102,67.1,10,26.3,12,NA,300,NA,NA,7.89,NA,0.29,NA,10,"Liverpool 2013",NA,NA,"Liverpool"
2017,75,53049,27,25.6,60.5,2,3,NA,NA,96,60,64.6,17,44.7,6,642,228,35.5,16.89,6,0.12,0.35,17.1,2,"Liverpool 2017",2,0,"Liverpool"
2018,97,52983,23,26.1,61.7,7,7,39,2,98,76,77.6,21,55.3,1,574,216,37.6,15.11,5.68,0.14,0.37,16.3,7,"Liverpool 2018",0,1,"Liverpool"
2019,99,41955,24,26.6,63.4,5,5,38,1,107,75,70.1,15,39.5,1,585,222,37.9,15.39,5.84,0.13,0.35,16.1,5,"Liverpool 2019",0,0,"Liverpool"
2020,69,837,28,26.8,62.4,6,6,40,0,137,98,72.3,12,31.6,8,600,201,33.5,15.79,5.29,0.1,0.29,16.2,6,"Liverpool 2020",1,3,"Liverpool"
2021,92,53352,27,27.7,63.3,7,8,50,1,105,78,75.2,21,55.3,0,722,237,32.8,19,6.24,0.12,0.37,15.9,7,"Liverpool 2021",0,0,"Liverpool"
2013,86,47075,23,27.7,NA,6,7,0,0,126,89,70.6,16,42.1,7,NA,239,NA,NA,6.29,NA,0.38,NA,6,"Manchester City 2013",NA,NA,"Manchester City"
2017,100,54070,25,26.4,71.1,6,8,NA,NA,82,56,67.1,18,47.4,3,661,255,38.6,17.39,6.71,0.15,0.38,17.4,6,"Manchester City 2017",2,1,"Manchester City"
