Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
4,Arsenal,38,21,10,7,72,37,35,73,1.92,"60,079",26,25.6,,38,418,,,69,54,64,5,6,37,4,1.82,1.42,3.24,1.68,3.11,3,38,38,"3,420",,37,0.97,142,105,73.9,21,10,7,14,36.8,26,,69,,272,,,7.16,,0.24,,5,6
15,Aston Villa,38,10,11,17,47,69,-22,41,1.08,"35,060",28,24.1,,38,418,,,47,34,44,3,3,72,3,1.24,0.89,2.13,1.16,2.05,2,38,38,"3,420",,69,1.82,193,124,64.2,10,11,17,5,13.2,28,,47,,176,,,4.63,,0.25,,3,3
3,Chelsea,38,22,9,7,75,39,36,75,1.97,"41,462",26,26.4,,38,418,,,71,50,62,9,11,51,3,1.87,1.32,3.18,1.63,2.95,2,38,38,"3,420",,39,1.03,162,123,75.9,22,9,7,14,36.8,26,,71,,257,,,6.76,,0.24,,9,11
6,Everton,38,16,15,7,55,40,15,63,1.66,"36,356",23,28.8,,38,418,,,53,42,51,2,2,59,3,1.39,1.11,2.5,1.34,2.45,2,38,38,"3,420",,40,1.05,143,103,72,16,15,7,11,28.9,23,,53,,266,,,7,,0.19,,2,2
12,Fulham,38,11,10,17,50,60,-10,43,1.13,"25,423",29,30.4,,38,418,,,45,32,39,6,6,48,3,1.18,0.84,2.03,1.03,1.87,2,38,38,"3,420",,60,1.58,198,138,69.7,11,10,17,8,21.1,29,,45,,205,,,5.39,,0.19,,6,6
7,Liverpool,38,16,13,9,71,43,28,61,1.61,"44,749",28,26.2,,38,418,,,67,47,62,5,6,54,2,1.76,1.24,3,1.63,2.87,2,38,38,"3,420",,43,1.13,135,92,68.1,16,13,9,16,42.1,28,,67,,297,,,7.82,,0.21,,5,6
2,Manchester City,38,23,9,6,66,34,32,78,2.05,"46,974",25,26.7,,38,418,,,64,45,60,4,6,63,3,1.68,1.18,2.87,1.58,2.76,1,38,38,"3,420",,34,0.89,112,78,69.6,23,9,6,18,47.4,25,,64,,285,,,7.5,,0.21,,4,6
1,Manchester Utd,38,28,5,5,86,43,43,89,2.34,"75,530",25,27.3,,38,418,,,80,63,76,4,7,57,1,2.11,1.66,3.76,2,3.66,2,38,38,"3,420",,43,1.13,152,109,71.7,28,5,5,13,34.2,25,,80,,243,,,6.39,,0.31,,4,7
16,Newcastle Utd,38,11,8,19,45,68,-23,41,1.08,"50,517",32,26.2,,38,418,,,43,22,39,4,5,71,4,1.13,0.58,1.71,1.03,1.61,3,38,38,"3,420",,68,1.79,189,121,64,11,8,19,6,15.8,32,,43,,208,,,5.47,,0.19,,4,5
11,Norwich City,38,10,14,14,41,58,-17,44,1.16,"26,672",27,26.7,,38,418,,,40,27,39,1,2,60,1,1.05,0.71,1.76,1.03,1.74,3,38,38,"3,420",,58,1.53,176,118,67,10,14,14,10,26.3,27,,40,,177,,,4.66,,0.22,,1,2
20,QPR,38,4,13,21,30,60,-30,25,0.66,"17,779",30,28.2,,38,418,,,29,22,28,1,4,59,3,0.76,0.58,1.34,0.74,1.32,2,38,38,"3,420",,60,1.58,192,132,68.8,4,13,21,7,18.4,30,,29,,183,,,4.82,,0.15,,1,4
19,Reading,38,6,10,22,43,73,-30,28,0.74,"23,862",28,27.2,,38,418,,,41,28,37,4,4,45,1,1.08,0.74,1.82,0.97,1.71,3,38,38,"3,420",,73,1.92,236,163,69.1,6,10,22,5,13.2,28,,41,,146,,,3.84,,0.25,,4,4
14,Southampton,38,9,14,15,49,60,-11,41,1.08,"30,855",25,25.3,,38,418,,,46,25,43,3,3,43,2,1.21,0.66,1.87,1.13,1.79,3,38,38,"3,420",,60,1.58,162,102,63,9,14,15,7,18.4,25,,46,,207,,,5.45,,0.21,,3,3
13,Stoke City,38,9,15,14,34,45,-11,42,1.11,"26,722",24,27.1,,38,418,,,33,23,30,3,5,76,4,0.87,0.61,1.47,0.79,1.39,1,38,38,"3,420",,45,1.18,154,109,70.8,9,15,14,12,31.6,24,,33,,144,,,3.79,,0.21,,3,5
17,Sunderland,38,9,12,17,41,54,-13,39,1.03,"40,563",29,26.2,,38,418,,,39,24,35,4,4,61,3,1.03,0.63,1.66,0.92,1.55,1,38,38,"3,420",,54,1.42,200,146,73,9,12,17,11,28.9,29,,39,,164,,,4.32,,0.21,,4,4
9,Swansea City,38,11,13,14,47,51,-4,46,1.21,"20,476",25,26.6,,38,418,,,47,32,47,0,0,57,2,1.24,0.84,2.08,1.24,2.08,2,38,38,"3,420",,51,1.34,201,150,74.6,11,13,14,10,26.3,25,,47,,209,,,5.5,,0.22,,0,0
5,Tottenham,38,21,9,8,66,46,20,72,1.89,"36,066",28,26.3,,38,418,,,62,45,62,0,0,54,2,1.63,1.18,2.82,1.63,2.82,2,38,38,"3,420",,46,1.21,127,81,63.8,21,9,8,9,23.7,28,,62,,284,,,7.47,,0.22,,0,0
8,West Brom,38,14,7,17,53,57,-4,49,1.29,"25,202",25,27.6,,38,418,,,50,38,45,5,7,62,4,1.32,1,2.32,1.18,2.18,2,38,38,"3,420",,57,1.5,177,120,67.8,14,7,17,8,21.1,25,,50,,200,,,5.26,,0.23,,5,7
10,West Ham,38,12,10,16,45,53,-8,46,1.21,"34,717",26,28,,38,418,,,43,33,39,4,4,74,1,1.13,0.87,2,1.03,1.89,1,38,38,"3,420",,53,1.39,215,162,75.3,12,10,16,11,28.9,26,,43,,206,,,5.42,,0.19,,4,4
18,Wigan Athletic,38,9,9,20,47,73,-26,36,0.95,"19,359",28,27.7,,38,418,,,45,35,44,1,1,66,2,1.18,0.92,2.11,1.16,2.08,2,38,38,"3,420",,73,1.92,188,115,61.2,9,9,20,5,13.2,28,,45,,209,,,5.5,,0.21,,1,1
