Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
8,Arsenal,38,14,14,10,56,48,8,56,1.47,49.2,56.6,-7.3,-0.19,"47,589",29,25.8,54,38,418,"3,420",38,56,35,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32,2,38,38,"3,420",38,48,1.26,189,143,78.3,14,14,10,10,26.3,8,7,1,0,12.5,29,38,56,401,144,35.9,10.55,3.79,0.13,0.37,15.9,3,3,49.2,46.9,0.12,6.8,6.1
17,Aston Villa,38,9,8,21,41,67,-26,35,0.92,40.1,65.9,-25.8,-0.68,"28,505",28,25.7,43.9,38,418,"3,420",38,40,32,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,4,38,38,"3,420",38,67,1.76,175,113,64.6,9,8,21,7,18.4,6,5,1,0,16.7,28,38,40,453,146,32.2,11.92,3.84,0.09,0.27,16.9,1,3,40.1,37.7,0.08,-0.1,1.3
18,Bournemouth,38,9,7,22,40,65,-25,34,0.89,42.7,57.5,-14.9,-0.39,"7,745",27,25.2,43.8,38,418,"3,420",38,38,24,34,4,4,78,3,1,0.63,1.63,0.89,1.53,2,38,38,"3,420",38,65,1.71,182,122,67,9,7,22,5,13.2,6,5,1,0,16.7,27,38,38,384,116,30.2,10.11,3.05,0.09,0.29,16.4,4,4,42.7,39.7,0.1,-4.7,-5.7
15,Brighton,38,9,14,15,39,54,-15,41,1.08,41.2,54.5,-13.3,-0.35,"22,369",25,26.4,52.2,38,418,"3,420",38,35,24,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53,1,38,38,"3,420",38,54,1.42,164,114,68.3,9,14,15,9,23.7,2,2,0,0,0,25,38,35,456,137,30,12,3.61,0.07,0.25,17.1,1,2,41.2,39.7,0.09,-6.2,-5.7
10,Burnley,38,15,9,14,43,50,-7,54,1.42,43.9,48.3,-4.4,-0.12,"15,995",22,28,41.4,38,418,"3,420",38,41,30,38,3,3,67,0,1.08,0.79,1.87,1,1.79,1,38,38,"3,420",38,50,1.32,159,112,71.1,15,9,14,15,39.5,5,4,1,0,20,22,38,41,384,124,32.3,10.11,3.26,0.1,0.31,15.7,3,3,43.9,41.6,0.11,-2.9,-3.6
4,Chelsea,38,20,6,12,69,54,15,66,1.74,66.6,37.8,28.7,0.76,"32,023",27,25.5,60.7,38,418,"3,420",38,69,46,62,7,7,60,0,1.82,1.21,3.03,1.63,2.84,2,38,38,"3,420",38,54,1.42,115,65,54.8,20,6,12,9,23.7,2,2,0,0,0,27,38,69,619,210,33.9,16.29,5.53,0.1,0.3,16.2,7,7,66.6,61.7,0.1,2.4,0.3
14,Crystal Palace,38,11,10,17,31,50,-19,43,1.13,34,51.3,-17.3,-0.45,"19,784",25,29.4,44.5,38,418,"3,420",38,29,20,26,3,3,62,2,0.76,0.53,1.29,0.68,1.21,2,38,38,"3,420",38,50,1.32,169,120,70.4,11,10,17,10,26.3,1,0,0,1,,25,38,29,372,116,31.2,9.79,3.05,0.07,0.22,16.5,3,3,34,31.9,0.09,-5,-5.9
12,Everton,38,13,10,15,44,56,-12,49,1.29,49.3,48.4,0.9,0.02,"28,848",24,25.5,49.2,38,418,"3,420",38,42,32,41,1,1,76,3,1.11,0.84,1.95,1.08,1.92,1,38,38,"3,420",38,56,1.47,145,95,63.4,13,10,15,9,23.7,4,3,0,1,0,24,38,42,465,155,33.3,12.24,4.08,0.09,0.26,15.7,1,1,49.3,48.5,0.11,-7.3,-7.5
5,Leicester City,38,18,8,12,67,41,26,62,1.63,61.6,44.5,17.1,0.45,"25,312",24,26.1,57.6,38,418,"3,420",38,65,48,60,5,7,43,3,1.71,1.26,2.97,1.58,2.84,1,38,38,"3,420",38,41,1.08,126,95,73.8,18,8,12,13,34.2,10,8,2,0,20,24,38,65,533,181,34,14.03,4.76,0.11,0.33,16.7,5,7,61.6,56.2,0.11,3.4,3.8
1,Liverpool,38,32,3,3,85,33,52,99,2.61,71.5,40,31.5,0.83,"41,955",24,26.6,63.4,38,418,"3,420",38,83,69,78,5,5,38,1,2.18,1.82,4,2.05,3.87,2,38,38,"3,418",38,33,0.87,107,75,70.1,32,3,3,15,39.5,1,1,0,0,0,24,38,83,585,222,37.9,15.39,5.84,0.13,0.35,16.1,5,5,71.5,67.7,0.12,11.5,10.3
