Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2,Manchester City,38,26,3,9,102,35,67,81,2.13,93.1,34.8,58.3,1.54,"37,097",24,26.9,66.9,38,418,"3,420",38,100,69,94,6,11,64,4,2.63,1.82,4.45,2.47,4.29,2,38,38,"3,418",38,35,0.92,107,73,70.1,26,3,9,17,44.7,3,3,0,0,0,24,38,100,730,246,33.7,19.21,6.47,0.13,0.38,15.8,6,11,93.1,84.7,0.12,6.9,9.3
3,Manchester Utd,38,18,12,8,66,36,30,66,1.74,59.4,37.4,22,0.58,"57,415",29,24.8,56.2,38,418,"3,420",38,65,43,55,10,14,73,0,1.71,1.13,2.84,1.45,2.58,1,38,38,"3,420",38,36,0.95,125,92,73.6,18,12,8,13,34.2,3,3,0,0,0,29,38,65,528,200,37.9,13.89,5.26,0.1,0.28,18.5,10,14,59.4,48.8,0.09,5.6,6.2
13,Newcastle Utd,38,11,11,16,38,58,-20,44,1.16,33.1,58.3,-25.2,-0.66,"35,551",28,26.5,38.6,38,418,"3,420",38,38,29,38,0,1,66,3,1,0.76,1.76,1,1.76,1,38,38,"3,420",38,58,1.53,190,134,70.5,11,11,16,11,28.9,2,2,0,0,0,28,38,38,397,127,32,10.45,3.34,0.1,0.3,18.5,0,1,33.1,32.3,0.08,4.9,5.7
20,Norwich City,38,5,6,27,26,75,-49,21,0.55,38,61.9,-23.9,-0.63,"19,913",30,26,49.3,38,418,"3,420",38,25,18,23,2,2,68,3,0.66,0.47,1.13,0.61,1.08,3,38,38,"3,420",38,75,1.97,201,129,64.7,5,6,27,5,13.2,7,4,3,0,42.9,30,38,25,409,124,30.3,10.76,3.26,0.06,0.19,17.4,2,2,38,36.6,0.09,-13,-13.6
9,Sheffield Utd,38,14,12,12,39,39,0,54,1.42,41.5,47.9,-6.4,-0.17,"24,370",26,26.9,43.1,38,418,"3,420",38,36,25,35,1,1,63,2,0.95,0.66,1.61,0.92,1.58,2,38,38,"3,420",38,39,1.03,141,103,73,14,12,12,13,34.2,3,1,1,1,50,26,38,36,353,109,30.9,9.29,2.87,0.1,0.32,14.7,1,1,41.5,40.8,0.12,-5.5,-5.8
11,Southampton,38,15,7,16,51,60,-9,52,1.37,53.9,53.1,0.8,0.02,"23,428",25,25.9,49.3,38,418,"3,420",38,51,32,49,2,5,55,4,1.34,0.84,2.18,1.29,2.13,2,38,38,"3,420",38,60,1.58,163,107,65,15,7,16,9,23.7,4,3,1,0,25,25,38,51,497,169,34,13.08,4.45,0.1,0.29,17.4,2,5,53.9,49.9,0.1,-2.9,-0.9
6,Tottenham,38,16,11,11,61,47,14,59,1.55,46.1,52,-6,-0.16,"43,757",29,26.7,52.2,38,418,"3,420",38,56,39,53,3,4,84,3,1.47,1.03,2.5,1.39,2.42,2,38,38,"3,420",38,47,1.24,172,130,75.6,16,11,11,8,21.1,7,5,2,0,28.6,29,38,56,439,155,35.3,11.55,4.08,0.12,0.34,17.8,3,4,46.1,43,0.1,9.9,10
19,Watford,38,8,10,20,36,64,-28,34,0.89,45.1,57.3,-12.2,-0.32,"15,353",26,28.9,42.5,38,418,"3,420",38,35,21,28,7,8,80,3,0.92,0.55,1.47,0.74,1.29,1,38,38,"3,420",38,64,1.68,166,109,66.3,8,10,20,9,23.7,9,8,1,0,11.1,26,38,35,410,114,27.8,10.79,3,0.07,0.25,16.5,7,8,45.1,39.1,0.1,-10.1,-11.1
16,West Ham,38,10,9,19,49,62,-13,39,1.03,46.1,61,-14.8,-0.39,"44,155",29,27.4,44,38,418,"3,420",38,49,36,45,4,4,64,1,1.29,0.95,2.24,1.18,2.13,4,38,38,"3,420",38,62,1.63,178,124,68,10,9,19,7,18.4,6,5,1,0,16.7,29,38,49,414,157,37.9,10.89,4.13,0.11,0.29,15.6,4,4,46.1,43.1,0.11,2.9,1.9
7,Wolves,38,15,14,9,51,40,11,59,1.55,47.1,34.8,12.3,0.32,"24,758",21,26.6,48.3,38,418,"3,420",38,49,34,45,4,4,61,2,1.29,0.89,2.18,1.18,2.08,1,38,38,"3,420",38,40,1.05,120,80,67.5,15,14,9,13,34.2,3,1,2,0,66.7,21,38,49,453,142,31.3,11.92,3.74,0.1,0.32,16.9,4,4,47.1,44.1,0.1,1.9,0.9
