Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
2,Arsenal,38,20,10,8,63,38,25,70,1.84,"37,974",Thierry Henry - 17,David Seaman,26,28.3,,38,418,,,62,52,61,1,2,48,3,1.63,1.37,3,1.61,2.97,3,38,38,"3,420",,38,1,133,95,71.4,20,10,8,17,44.7,,,,,,26,,62,,267,,,7.03,,0.23,,1,2
8,Aston Villa,38,13,15,10,46,43,3,54,1.42,"31,522",Dion Dublin - 8,David James,22,28,,38,419,,,46,35,45,1,1,64,3,1.21,0.92,2.13,1.18,2.11,1,38,38,"3,420",,43,1.13,166,123,74.1,13,15,10,9,23.7,,,,,,22,,46,,166,,,4.37,,0.27,,1,1
20,Bradford City,38,5,11,22,30,70,-40,26,0.68,"18,510",Benito Carbone - 5,Gary Walsh,27,30.4,,38,366,,,26,17,23,3,5,58,1,0.68,0.45,1.13,0.61,1.05,3,38,38,"3,583",,73,1.83,275,202,73.5,5,11,22,6,15.8,,,,,,27,,26,,123,,,3.24,,0.19,,3,5
9,Charlton Ath,38,14,10,14,50,57,-7,52,1.37,"20,022",Jonatan Johansson - 11,Dean Kiely,27,26.8,,38,418,,,47,33,44,3,3,47,2,1.24,0.87,2.11,1.16,2.03,3,38,38,"3,420",,58,1.53,195,137,70.3,14,10,14,14,36.8,,,,,,27,,47,,216,,,5.68,,0.2,,3,3
6,Chelsea,38,17,10,11,68,45,23,61,1.61,"34,700",Jimmy Floyd Hasselbaink - 23,Carlo Cudicini,26,28.1,,38,411,,,67,49,63,4,4,75,2,1.76,1.29,3.05,1.66,2.95,2,38,38,"3,420",,45,1.18,150,105,70,17,10,11,10,26.3,,,,,,26,,67,,220,,,5.79,,0.29,,4,4
19,Coventry City,38,8,10,20,36,63,-27,34,0.89,"20,582","Mustapha Hadji, John Hartson... - 6",Chris Kirkland,28,25.7,,38,418,,,33,22,30,3,3,76,2,0.87,0.58,1.45,0.79,1.37,3,38,38,"3,420",,63,1.66,220,157,71.4,8,10,20,6,15.8,,,,,,28,,33,,160,,,4.21,,0.19,,3,3
17,Derby County,38,10,12,16,37,59,-22,42,1.11,"28,550",Malcolm Christie - 8,Mart Poom,31,25.2,,38,415,,,36,24,34,2,3,79,3,0.95,0.63,1.58,0.89,1.53,2,38,38,"3,420",,61,1.61,219,158,72.1,10,12,16,9,23.7,,,,,,31,,36,,145,,,3.82,,0.23,,2,3
16,Everton,38,11,9,18,45,59,-14,42,1.11,"34,130",Kevin Campbell - 9,Paul Gerrard,31,27,,38,414,,,45,28,40,5,7,78,4,1.18,0.74,1.92,1.05,1.79,3,38,38,"3,420",,59,1.55,172,113,65.7,11,9,18,8,21.1,,,,,,31,,45,,189,,,4.97,,0.21,,5,7
5,Ipswich Town,38,20,6,12,57,42,15,66,1.74,"22,532",Marcus Stewart - 19,Richard Wright,23,26.4,,38,438,,,56,39,53,3,3,32,2,1.47,1.03,2.5,1.39,2.42,2,38,38,"3,420",,42,1.11,157,115,73.2,20,6,12,13,34.2,,,,,,23,,56,,205,,,5.39,,0.26,,3,3
4,Leeds United,38,20,8,10,64,43,21,68,1.79,"38,974",Mark Viduka - 17,Nigel Martyn,24,24.6,,38,425,,,63,44,60,3,4,72,3,1.66,1.16,2.82,1.58,2.74,2,38,38,"3,420",,43,1.13,162,119,73.5,20,8,10,11,28.9,,,,,,24,,63,,229,,,6.03,,0.26,,3,4
13,Leicester City,38,14,6,18,39,51,-12,48,1.26,"20,452",Ade Akinbiyi - 9,Tim Flowers,29,27.3,,38,425,,,39,31,36,3,3,57,2,1.03,0.82,1.84,0.95,1.76,2,38,38,"3,420",,51,1.34,202,151,74.8,14,6,18,11,28.9,,,,,,29,,39,,179,,,4.71,,0.2,,3,3
3,Liverpool,38,20,9,9,71,39,32,69,1.82,"43,698",Michael Owen - 16,Sander Westerveld,24,25.4,,38,415,,,70,48,67,3,4,53,4,1.84,1.26,3.11,1.76,3.03,1,38,38,"3,420",,39,1.03,165,126,76.4,20,9,9,14,36.8,,,,,,24,,70,,228,,,6,,0.29,,3,4
18,Manchester City,38,8,10,20,41,65,-24,34,0.89,"34,058",Paulo Wanchope - 9,Nicky Weaver,30,26.1,,38,434,,,38,28,36,2,2,68,3,1,0.74,1.74,0.95,1.68,3,38,38,"3,420",,65,1.71,204,139,68.1,8,10,20,7,18.4,,,,,,30,,38,,165,,,4.34,,0.22,,2,2
1,Manchester Utd,38,24,8,6,79,31,48,80,2.11,"67,489",Teddy Sheringham - 15,Fabien Barthez,28,26.9,,38,418,,,77,60,75,2,3,44,3,2.03,1.58,3.61,1.97,3.55,4,38,38,"3,420",,31,0.82,140,109,77.9,24,8,6,17,44.7,,,,,,28,,77,,251,,,6.61,,0.3,,2,3
14,Middlesbrough,38,9,15,14,44,44,0,42,1.11,"30,747",Alen Bokšić - 12,Mark Schwarzer,27,29.4,,38,438,,,43,25,40,3,3,73,6,1.13,0.66,1.79,1.05,1.71,2,38,38,"3,150",,41,1.17,180,139,77.2,9,15,14,9,23.7,,,,,,27,,43,,175,,,4.61,,0.23,,3,3
11,Newcastle Utd,38,14,9,15,44,50,-6,51,1.34,"51,309","Nolberto Solano, Carl Cort - 6",Shay Given,28,25.8,,38,424,,,42,27,37,5,7,48,5,1.11,0.71,1.82,0.97,1.68,2,38,38,"3,420",,50,1.32,179,129,72.1,14,9,15,7,18.4,,,,,,28,,42,,183,,,4.82,,0.2,,5,7
10,Southampton,38,14,10,14,40,48,-8,52,1.37,"15,115",James Beattie - 11,Paul Jones,24,27.2,,38,433,,,40,28,40,0,0,49,1,1.05,0.74,1.79,1.05,1.79,2,38,38,"3,420",,48,1.26,182,134,73.6,14,10,14,14,36.8,,,,,,24,,40,,173,,,4.55,,0.23,,0,0
7,Sunderland,38,15,12,11,46,41,5,57,1.5,"46,790",Kevin Phillips - 14,Thomas Sørensen,27,26.4,,38,395,,,46,32,44,2,4,78,5,1.21,0.84,2.05,1.16,2,2,38,38,"3,420",,41,1.08,176,135,76.7,15,12,11,13,34.2,,,,,,27,,46,,195,,,5.13,,0.23,,2,4
12,Tottenham,38,13,10,15,47,54,-7,49,1.29,"35,194",Les Ferdinand - 10,Neil Sullivan,29,26.3,,38,418,,,46,31,43,3,4,47,3,1.21,0.82,2.03,1.13,1.95,2,38,38,"3,420",,53,1.39,208,155,74.5,13,10,15,11,28.9,,,,,,29,,46,,185,,,4.87,,0.23,,3,4
15,West Ham,38,10,12,16,45,50,-5,42,1.11,"25,697",Frédéric Kanouté - 11,Shaka Hislop,34,27,,38,409,,,45,30,41,4,4,70,2,1.18,0.79,1.97,1.08,1.87,3,38,38,"3,420",,48,1.26,180,132,73.3,10,12,16,13,34.2,,,,,,34,,45,,217,,,5.71,,0.19,,4,4
