Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
5,Liverpool,38,18,10,10,61,41,20,64,1.68,"43,243",23,24.9,,38,418,,,61,49,57,4,6,35,1,1.61,1.29,2.89,1.5,2.79,2,38,38,"3,420",,41,1.08,146,105,71.9,18,10,10,14,36.8,23,,61,,209,,,5.5,,0.27,,4,6
9,Manchester City,38,15,6,17,47,54,-7,51,1.34,"34,565",26,27.8,,38,419,,,47,40,45,2,2,40,5,1.24,1.05,2.29,1.18,2.24,2,38,38,"3,420",,54,1.42,184,130,70.7,15,6,17,10,26.3,26,,47,,168,,,4.42,,0.27,,2,2
1,Manchester Utd,38,25,8,5,74,34,40,83,2.18,"67,602",26,27,,38,418,,,73,56,64,9,9,39,1,1.92,1.47,3.39,1.68,3.16,3,38,38,"3,420",,34,0.89,122,88,72.1,25,8,5,13,34.2,26,,73,,235,,,6.18,,0.27,,9,9
11,Middlesbrough,38,13,10,15,48,44,4,49,1.29,"31,105",29,26.4,,38,418,,,48,31,46,2,3,43,4,1.26,0.82,2.08,1.21,2.03,1,38,38,"3,420",,44,1.16,184,140,76.1,13,10,15,10,26.3,29,,48,,139,,,3.66,,0.33,,2,3
3,Newcastle Utd,38,21,6,11,63,48,15,69,1.82,"51,923",25,24.9,,38,420,,,63,42,60,3,4,40,2,1.66,1.11,2.76,1.58,2.68,1,38,38,"3,420",,48,1.26,179,131,73.2,21,6,11,14,36.8,25,,63,,221,,,5.82,,0.27,,3,4
8,Southampton,38,13,13,12,43,46,-3,52,1.37,"30,680",25,27.2,,38,417,,,42,24,36,6,6,33,3,1.11,0.63,1.74,0.95,1.58,2,38,38,"3,420",,46,1.21,197,151,76.6,13,13,12,13,34.2,25,,42,,191,,,5.03,,0.19,,6,6
20,Sunderland,38,4,7,27,21,65,-44,19,0.5,"39,698",34,26,,38,413,,,21,16,20,1,3,47,0,0.55,0.42,0.97,0.53,0.95,4,38,38,"3,420",,65,1.71,210,145,69,4,7,27,6,15.8,34,,21,,142,,,3.74,,0.14,,1,3
10,Tottenham,38,14,8,16,51,62,-11,50,1.32,"35,897",24,28,,38,414,,,50,35,47,3,3,50,4,1.32,0.92,2.24,1.24,2.16,1,38,38,"3,420",,62,1.63,210,148,70.5,14,8,16,5,13.2,24,,50,,166,,,4.37,,0.28,,3,3
19,West Brom,38,6,8,24,29,65,-36,26,0.68,"26,731",23,27.2,,38,418,,,29,11,28,1,1,45,4,0.76,0.29,1.05,0.74,1.03,2,38,38,"3,420",,65,1.71,208,143,68.8,6,8,24,6,15.8,23,,29,,167,,,4.39,,0.17,,1,1
18,West Ham,38,10,12,16,42,59,-17,42,1.11,"34,432",24,27.4,,38,422,,,41,29,37,4,5,49,4,1.08,0.76,1.84,0.97,1.74,1,38,38,"3,420",,59,1.55,198,139,70.2,10,12,16,9,23.7,24,,41,,185,,,4.87,,0.2,,4,5
