Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
2,Arsenal,38,23,9,6,85,42,43,78,2.05,"38,042",28,27.8,,38,418,,,84,66,79,5,6,47,2,2.21,1.74,3.95,2.08,3.82,3,38,38,"3,420",,42,1.11,147,105,71.4,23,9,6,10,26.3,28,,84,,259,,,6.82,,0.31,,5,6
16,Aston Villa,38,12,9,17,42,47,-5,45,1.18,"34,975",27,26.2,,38,418,,,42,29,39,3,4,58,4,1.11,0.76,1.87,1.03,1.79,2,38,38,"3,420",,47,1.24,176,129,73.3,12,9,17,9,23.7,27,,42,,196,,,5.16,,0.2,,3,4
13,Birmingham City,38,13,9,16,41,49,-8,48,1.26,"28,831",33,27.9,,38,418,,,40,26,36,4,5,66,3,1.05,0.68,1.74,0.95,1.63,4,38,38,"3,420",,49,1.29,171,122,71.3,13,9,16,9,23.7,33,,40,,141,,,3.71,,0.26,,4,5
6,Blackburn,38,16,12,10,52,43,9,60,1.58,"26,226",28,27.7,,38,418,,,50,38,45,5,6,55,4,1.32,1,2.32,1.18,2.18,2,38,38,"3,420",,43,1.13,207,164,79.2,16,12,10,15,39.5,28,,50,,174,,,4.58,,0.26,,5,6
17,Bolton,38,10,14,14,41,51,-10,44,1.16,"25,017",27,29.1,,38,418,,,38,24,37,1,2,54,3,1,0.63,1.63,0.97,1.61,1,38,38,"3,420",,51,1.34,189,138,73,10,14,14,10,26.3,27,,38,,152,,,4,,0.24,,1,2
12,Charlton Ath,38,14,7,17,45,56,-11,49,1.29,"26,256",26,27,,38,420,,,43,24,39,4,5,47,1,1.13,0.63,1.76,1.03,1.66,2,38,38,"3,420",,56,1.47,190,134,70.5,14,7,17,8,21.1,26,,43,,156,,,4.11,,0.25,,4,5
4,Chelsea,38,19,10,9,68,38,30,67,1.76,"39,784",23,27.8,,38,416,,,67,40,64,3,3,54,1,1.76,1.05,2.82,1.68,2.74,2,38,38,"3,420",,38,1,156,118,75.6,19,10,9,13,34.2,23,,67,,222,,,5.84,,0.29,,3,3
7,Everton,38,17,8,13,48,49,-1,59,1.55,"38,491",28,27.4,,38,392,,,48,32,44,4,4,39,5,1.26,0.84,2.11,1.16,2,4,38,38,"3,420",,49,1.29,173,124,71.7,17,8,13,11,28.9,28,,48,,182,,,4.79,,0.24,,4,4
14,Fulham,38,13,9,16,41,50,-9,48,1.26,"16,707",27,27.3,,38,417,,,38,23,32,6,7,46,6,1,0.61,1.61,0.84,1.45,3,38,38,"3,420",,50,1.32,197,147,74.6,13,9,16,11,28.9,27,,38,,182,,,4.79,,0.18,,6,7
15,Leeds United,38,14,5,19,58,57,1,47,1.24,"39,120",28,25.8,,38,401,,,54,39,50,4,5,62,1,1.42,1.03,2.45,1.32,2.34,1,38,38,"3,420",,57,1.5,188,131,69.7,14,5,19,10,26.3,28,,54,,176,,,4.63,,0.28,,4,5
