Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
4,Arsenal,38,20,7,11,68,31,37,67,1.76,"38,184",27,26.2,,38,418,,,66,46,62,4,7,55,2,1.74,1.21,2.95,1.63,2.84,1,38,38,"3,420",,31,0.82,169,138,81.7,20,7,11,16,42.1,27,,66,,275,,,7.24,,0.23,,4,7
16,Aston Villa,38,10,12,16,42,55,-13,42,1.11,"34,112",26,25.2,,38,416,,,41,35,40,1,4,63,2,1.08,0.92,2,1.05,1.97,2,38,38,"3,420",,55,1.45,251,196,78.1,10,12,16,11,28.9,26,,41,,189,,,4.97,,0.21,,1,4
18,Birmingham City,38,8,10,20,28,50,-22,34,0.89,"27,392",30,28,,38,417,,,26,19,24,2,2,53,7,0.68,0.5,1.18,0.63,1.13,2,38,38,"3,420",,50,1.32,222,172,77.5,8,10,20,10,26.3,30,,26,,171,,,4.5,,0.14,,2,2
6,Blackburn,38,19,6,13,51,42,9,63,1.66,"21,015",23,27.9,,38,418,,,49,29,45,4,4,78,6,1.29,0.76,2.05,1.18,1.95,1,38,38,"3,420",,42,1.11,185,143,77.3,19,6,13,16,42.1,23,,49,,181,,,4.76,,0.25,,4,4
8,Bolton,38,15,11,12,49,41,8,56,1.47,"25,455",24,28,,38,419,,,47,33,45,2,4,64,3,1.24,0.87,2.11,1.18,2.05,1,38,38,"3,420",,41,1.08,188,147,78.2,15,11,12,15,39.5,24,,47,,204,,,5.37,,0.22,,2,4
13,Charlton Ath,38,13,8,17,41,55,-14,47,1.24,"26,196",27,27.9,,38,422,,,41,29,37,4,4,44,2,1.08,0.76,1.84,0.97,1.74,2,38,38,"3,150",,47,1.34,211,164,77.7,13,8,17,13,34.2,27,,41,,189,,,4.97,,0.2,,4,4
1,Chelsea,38,29,4,5,72,22,50,91,2.39,"41,902",25,25.9,,38,418,,,71,50,67,4,4,64,5,1.87,1.32,3.18,1.76,3.08,3,38,38,"3,420",,22,0.58,154,132,85.7,29,4,5,20,52.6,25,,71,,279,,,7.34,,0.24,,4,4
11,Everton,38,14,8,16,34,49,-15,50,1.32,"36,860",27,28,,38,422,,,32,25,31,1,3,66,7,0.84,0.66,1.5,0.82,1.47,4,38,38,"3,879",,58,1.35,231,173,74.9,14,8,16,13,34.2,27,,32,,206,,,5.42,,0.15,,1,3
12,Fulham,38,14,6,18,48,58,-10,48,1.26,"20,654",27,27.9,,38,417,,,47,35,43,4,4,65,2,1.24,0.92,2.16,1.13,2.05,3,38,38,"3,420",,58,1.53,226,168,74.3,14,6,18,10,26.3,27,,47,,180,,,4.74,,0.24,,4,4
3,Liverpool,38,25,7,6,57,25,32,82,2.16,"44,236",22,26.3,,38,415,,,54,42,50,4,5,50,5,1.42,1.11,2.53,1.32,2.42,2,38,38,"3,412",,25,0.66,163,138,84.7,25,7,6,22,57.9,22,,54,,283,,,7.45,,0.18,,4,5
15,Manchester City,38,13,4,21,43,48,-5,43,1.13,"42,056",26,27.3,,38,418,,,42,31,41,1,2,70,4,1.11,0.82,1.92,1.08,1.89,1,38,38,"3,420",,48,1.26,206,158,76.7,13,4,21,6,15.8,26,,42,,206,,,5.42,,0.2,,1,2
2,Manchester Utd,38,25,8,5,72,34,38,83,2.18,"68,765",26,26.4,,38,417,,,68,50,66,2,3,61,2,1.79,1.32,3.11,1.74,3.05,2,38,38,"3,420",,34,0.89,187,153,81.8,25,8,5,18,47.4,26,,68,,286,,,7.53,,0.23,,2,3
14,Middlesbrough,38,12,9,17,48,58,-10,45,1.18,"28,463",37,26.5,,38,413,,,48,34,43,5,5,54,3,1.26,0.89,2.16,1.13,2.03,3,38,38,"3,420",,58,1.53,222,164,73.9,12,9,17,10,26.3,37,,48,,211,,,5.55,,0.2,,5,5
7,Newcastle Utd,38,17,7,14,47,42,5,58,1.53,"52,032",25,26.8,,38,414,,,45,31,40,5,5,64,6,1.18,0.82,2,1.05,1.87,1,38,38,"3,420",,42,1.11,175,133,76,17,7,14,13,34.2,25,,45,,209,,,5.5,,0.19,,5,5
17,Portsmouth,38,10,8,20,37,62,-25,38,1,"19,840",33,26.7,,38,419,,,36,22,34,2,2,55,1,0.95,0.58,1.53,0.89,1.47,2,38,38,"3,150",,61,1.74,194,133,68.6,10,8,20,5,13.2,33,,36,,227,,,5.97,,0.15,,2,2
20,Sunderland,38,3,6,29,26,69,-43,15,0.39,"33,904",27,24.8,,38,410,,,24,15,22,2,2,69,4,0.63,0.39,1.03,0.58,0.97,2,38,38,"3,420",,69,1.82,277,208,75.1,3,6,29,4,10.5,27,,24,,180,,,4.74,,0.12,,2,2
5,Tottenham,38,18,11,9,53,38,15,65,1.71,"36,074",25,24.9,,38,414,,,52,38,48,4,6,51,5,1.37,1,2.37,1.26,2.26,1,38,38,"3,420",,38,1,165,127,77,18,11,9,13,34.2,25,,52,,231,,,6.08,,0.21,,4,6
19,West Brom,38,7,9,22,31,58,-27,30,0.79,"25,404",29,26.4,,38,418,,,31,18,30,1,2,47,2,0.82,0.47,1.29,0.79,1.26,2,38,38,"3,391",,56,1.49,245,189,77.1,7,9,22,10,26.3,29,,31,,155,,,4.08,,0.19,,1,2
9,West Ham,38,16,7,15,52,55,-3,55,1.45,"33,743",28,26,,38,415,,,48,29,45,3,5,50,2,1.26,0.76,2.03,1.18,1.95,4,38,38,"3,420",,55,1.45,219,164,74.9,16,7,15,9,23.7,28,,48,,164,,,4.32,,0.27,,3,5
10,Wigan Athletic,38,15,6,17,45,52,-7,51,1.34,"20,610",25,28.3,,38,420,,,44,30,43,1,1,54,4,1.16,0.79,1.95,1.13,1.92,2,38,38,"3,420",,52,1.37,201,149,74.1,15,6,17,10,26.3,25,,44,,211,,,5.55,,0.2,,1,1
