Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
2,Arsenal,38,20,11,7,65,36,29,71,1.87,"59,944",25,27,58.3,38,418,"3,420",38,62,53,61,1,2,0,0,1.63,1.39,3.03,1.61,3,2,38,38,"3,420",38,36,0.95,148,112,75.7,20,11,7,18,47.4,25,38,62,,210,,,5.53,,0.29,,1,2
20,Aston Villa,38,3,8,27,27,76,-49,17,0.45,"33,690",29,26.6,46.4,38,418,"3,420",38,24,19,22,2,2,0,0,0.63,0.5,1.13,0.58,1.08,2,38,38,"3,420",38,76,2,186,110,59.1,3,8,27,6,15.8,29,38,24,,110,,,2.89,,0.2,,2,2
16,Bournemouth,38,11,9,18,45,67,-22,42,1.11,"11,189",28,27.7,51.2,38,418,"3,420",38,43,28,40,3,4,0,0,1.13,0.74,1.87,1.05,1.79,3,38,38,"3,420",38,67,1.76,152,85,55.9,11,9,18,7,18.4,28,38,43,,143,,,3.76,,0.28,,3,4
10,Chelsea,38,12,14,12,59,53,6,50,1.32,"41,500",28,26.8,56.2,38,418,"3,420",38,55,40,51,4,5,0,0,1.45,1.05,2.5,1.34,2.39,2,38,38,"3,419",38,53,1.4,172,119,69.2,12,14,12,9,23.7,28,38,55,,172,,,4.53,,0.3,,4,5
15,Crystal Palace,38,11,9,18,39,51,-12,42,1.11,"24,825",30,27.7,45.8,38,418,"3,420",38,38,21,34,4,5,0,0,1,0.55,1.55,0.89,1.45,3,38,38,"3,420",38,51,1.34,168,117,69.6,11,9,18,8,21.1,30,38,38,,153,,,4.03,,0.22,,4,5
11,Everton,38,11,14,13,59,55,4,47,1.24,"38,124",31,26.5,51.9,38,418,"3,420",38,56,44,52,4,5,0,0,1.47,1.16,2.63,1.37,2.53,2,38,38,"3,420",38,55,1.45,179,124,69.3,11,14,13,10,26.3,31,38,56,,174,,,4.58,,0.3,,4,5
1,Leicester City,38,23,12,3,68,36,32,81,2.13,"31,998",23,27.7,42.6,38,418,"3,420",38,68,43,58,10,13,0,0,1.79,1.13,2.92,1.53,2.66,1,38,38,"3,420",38,36,0.95,136,100,73.5,23,12,3,15,39.5,23,38,68,,179,,,4.71,,0.32,,10,13
8,Liverpool,38,16,12,10,63,50,13,60,1.58,"43,910",34,25.2,57.2,38,418,"3,420",38,62,50,60,2,2,0,0,1.63,1.32,2.95,1.58,2.89,3,38,38,"3,420",38,50,1.32,130,80,61.5,16,12,10,11,28.9,34,38,62,,199,,,5.24,,0.3,,2,2
4,Manchester City,38,19,9,10,71,41,30,66,1.74,"54,041",25,28.3,56.9,38,418,"3,420",38,71,53,66,5,8,0,0,1.87,1.39,3.26,1.74,3.13,2,38,38,"3,420",38,41,1.08,125,84,67.2,19,9,10,16,42.1,25,38,71,,210,,,5.53,,0.31,,5,8
5,Manchester Utd,38,19,9,10,49,35,14,66,1.74,"75,286",33,25.6,58.5,38,418,"3,420",38,46,31,43,3,3,0,0,1.21,0.82,2.03,1.13,1.95,2,38,38,"3,420",38,35,0.92,120,85,70.8,19,9,10,18,47.4,33,38,46,,144,,,3.79,,0.3,,3,3
18,Newcastle Utd,38,9,10,19,44,65,-21,37,0.97,"49,754",31,25.4,46.6,38,418,"3,420",38,43,34,40,3,3,0,0,1.13,0.89,2.03,1.05,1.95,3,38,38,"3,420",38,65,1.71,178,113,63.5,9,10,19,8,21.1,31,38,43,,150,,,3.95,,0.27,,3,3
19,Norwich City,38,9,7,22,39,67,-28,34,0.89,"26,972",28,27.7,46,38,418,"3,420",38,38,27,37,1,1,0,0,1,0.71,1.71,0.97,1.68,2,38,38,"3,420",38,67,1.76,165,98,59.4,9,7,22,5,13.2,28,38,38,,130,,,3.42,,0.28,,1,1
6,Southampton,38,18,9,11,59,41,18,63,1.66,"30,751",26,26.4,49.2,38,418,"3,420",38,58,45,55,3,4,0,0,1.53,1.18,2.71,1.45,2.63,4,38,38,"3,420",38,41,1.08,133,92,69.2,18,9,11,12,31.6,26,38,58,,165,,,4.34,,0.33,,3,4
9,Stoke City,38,14,9,15,41,55,-14,51,1.34,"27,534",27,27.4,49.7,38,418,"3,420",38,40,29,35,5,5,0,0,1.05,0.76,1.82,0.92,1.68,3,38,38,"3,420",38,55,1.45,175,120,68.6,14,9,15,10,26.3,27,38,40,,127,,,3.34,,0.28,,5,5
17,Sunderland,38,9,12,17,48,62,-14,39,1.03,"43,071",31,27.3,41,38,418,"3,420",38,44,30,41,3,3,0,0,1.16,0.79,1.95,1.08,1.87,3,38,38,"3,420",38,62,1.63,213,151,70.9,9,12,17,7,18.4,31,38,44,,173,,,4.55,,0.24,,3,3
