Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
4,Arsenal,38,20,12,6,68,37,31,72,1.89,"60,040",Robin van Persie - 11,Manuel Almunia,28,24.1,,38,418,,,65,48,60,5,5,58,3,1.71,1.26,2.97,1.58,2.84,3,38,38,"3,420",,37,0.97,149,112,75.2,20,12,6,16,42.1,,,,,,28,,65,,231,,,6.08,,0.26,,5,5
6,Aston Villa,38,17,11,10,54,48,6,62,1.63,"39,812",Gabby Agbonlahor - 12,Brad Friedel,21,27.1,,38,418,,,48,35,44,4,5,53,2,1.26,0.92,2.18,1.16,2.08,2,38,38,"3,420",,48,1.26,186,138,74.2,17,11,10,13,34.2,,,,,,21,,48,,180,,,4.74,,0.24,,4,5
15,Blackburn,38,10,11,17,40,60,-20,41,1.08,"23,481",Benni McCarthy - 10,Paul Robinson,28,28.3,,38,418,,,40,28,36,4,7,73,4,1.05,0.74,1.79,0.95,1.68,2,38,38,"3,420",,60,1.58,177,117,66.1,10,11,17,10,26.3,,,,,,28,,40,,153,,,4.03,,0.24,,4,7
13,Bolton,38,11,8,19,41,53,-12,41,1.08,"22,486",Kevin Davies - 11,Jussi Jääskeläinen,24,27.3,,38,418,,,40,28,40,0,1,62,1,1.05,0.74,1.79,1.05,1.79,1,38,38,"3,420",,53,1.39,213,160,75.1,11,8,19,7,18.4,,,,,,24,,40,,185,,,4.87,,0.22,,0,1
3,Chelsea,38,25,8,5,68,24,44,83,2.18,"41,588",Nicolas Anelka - 19,Petr Čech,29,27.5,,38,418,,,65,45,63,2,2,50,2,1.71,1.18,2.89,1.66,2.84,3,38,38,"3,420",,24,0.63,144,120,83.3,25,8,5,22,57.9,,,,,,29,,65,,285,,,7.5,,0.22,,2,2
5,Everton,38,17,12,9,55,37,18,63,1.66,"35,667","Marouane Fellaini, Tim Cahill - 8",Tim Howard,25,26.4,,38,417,,,54,38,50,4,5,49,1,1.42,1,2.42,1.32,2.32,1,38,38,"3,420",,37,0.97,186,149,80.1,17,12,9,17,44.7,,,,,,25,,54,,200,,,5.26,,0.25,,4,5
7,Fulham,38,14,11,13,39,34,5,53,1.39,"24,340","Clint Dempsey, Andrew Johnson - 7",Mark Schwarzer,26,28.8,,38,418,,,39,24,34,5,5,40,1,1.03,0.63,1.66,0.89,1.53,1,38,38,"3,420",,34,0.89,195,161,82.6,14,11,13,15,39.5,,,,,,26,,39,,173,,,4.55,,0.2,,5,5
17,Hull City,38,8,11,19,39,64,-25,35,0.92,"24,816",Geovanni - 8,Boaz Myhill,29,27.7,,38,418,,,35,17,32,3,3,70,3,0.92,0.45,1.37,0.84,1.29,2,38,38,"3,420",,64,1.68,212,148,69.8,8,11,19,6,15.8,,,,,,29,,35,,160,,,4.21,,0.2,,3,3
2,Liverpool,38,25,11,2,77,27,50,86,2.26,"43,611",Steven Gerrard - 16,Pepe Reina,23,26.5,,38,418,,,73,50,68,5,6,50,0,1.92,1.32,3.24,1.79,3.11,1,38,38,"3,420",,27,0.71,122,95,77.9,25,11,2,20,52.6,,,,,,23,,73,,269,,,7.08,,0.25,,5,6
10,Manchester City,38,15,5,18,58,50,8,50,1.32,"43,162",Robinho - 14,Joe Hart,34,24.5,,38,418,,,56,35,50,6,7,49,4,1.47,0.92,2.39,1.32,2.24,3,38,38,"3,420",,50,1.32,192,142,74,15,5,18,10,26.3,,,,,,34,,56,,213,,,5.61,,0.23,,6,7
1,Manchester Utd,38,28,6,4,68,24,44,90,2.37,"75,304",Cristiano Ronaldo - 18,Edwin van der Sar,33,27.1,,38,418,,,68,51,64,4,4,61,5,1.79,1.34,3.13,1.68,3.03,3,38,38,"3,420",,24,0.63,138,114,82.6,28,6,4,24,63.2,,,,,,33,,68,,272,,,7.16,,0.24,,4,4
19,Middlesbrough,38,7,11,20,28,57,-29,32,0.84,"28,429",Tuncay Şanlı - 7,Ross Turnbull,28,24.5,,38,418,,,26,17,25,1,3,54,3,0.68,0.45,1.13,0.66,1.11,2,38,38,"3,420",,57,1.5,216,159,73.6,7,11,20,7,18.4,,,,,,28,,26,,153,,,4.03,,0.16,,1,3
18,Newcastle Utd,38,7,13,18,40,59,-19,34,0.89,"48,750","Obafemi Martins, Michael Owen - 8",Shay Given,29,26.8,,38,417,,,39,23,35,4,5,57,8,1.03,0.61,1.63,0.92,1.53,2,38,38,"3,420",,59,1.55,210,151,71.9,7,13,18,7,18.4,,,,,,29,,39,,149,,,3.92,,0.23,,4,5
14,Portsmouth,38,10,11,17,38,57,-19,41,1.08,"19,830",Peter Crouch - 10,David James,29,28.6,,38,417,,,36,25,34,2,3,57,5,0.95,0.66,1.61,0.89,1.55,2,38,38,"3,420",,57,1.5,212,155,73.1,10,11,17,8,21.1,,,,,,29,,36,,163,,,4.29,,0.21,,2,3
12,Stoke City,38,12,9,17,38,55,-17,45,1.18,"26,960",Ricardo Fuller - 11,Thomas Sørensen,29,28.5,,38,418,,,36,23,31,5,6,73,5,0.95,0.61,1.55,0.82,1.42,2,38,38,"3,420",,55,1.45,191,136,71.2,12,9,17,12,31.6,,,,,,29,,36,,120,,,3.16,,0.26,,5,6
16,Sunderland,38,9,9,20,34,54,-20,36,0.95,"40,163","Kenwyne Jones, Djibril Cissé - 10",Márton Fülöp,30,26.1,,38,418,,,32,19,31,1,1,69,1,0.84,0.5,1.34,0.82,1.32,2,38,38,"3,420",,54,1.42,168,114,67.9,9,9,20,9,23.7,,,,,,30,,32,,164,,,4.32,,0.19,,1,1
8,Tottenham,38,14,9,15,45,45,0,51,1.34,"35,929",Darren Bent - 12,Heurelho Gomes,29,24.9,,38,418,,,43,30,40,3,4,54,5,1.13,0.79,1.92,1.05,1.84,2,38,38,"3,420",,45,1.18,203,158,77.8,14,9,15,13,34.2,,,,,,29,,43,,209,,,5.5,,0.19,,3,4
20,West Brom,38,8,8,22,36,67,-31,32,0.84,"25,828",Chris Brunt - 9,Scott Carson,30,25.2,,38,418,,,34,23,31,3,5,66,1,0.89,0.61,1.5,0.82,1.42,2,38,38,"3,420",,67,1.76,227,160,70.5,8,8,22,8,21.1,,,,,,30,,34,,182,,,4.79,,0.17,,3,5
9,West Ham,38,14,9,15,42,45,-3,51,1.34,"34,227",Carlton Cole - 10,Robert Green,30,26.6,,38,418,,,41,25,40,1,3,66,4,1.08,0.66,1.74,1.05,1.71,1,38,38,"3,420",,45,1.18,197,152,77.2,14,9,15,10,26.3,,,,,,30,,41,,180,,,4.74,,0.22,,1,3
11,Wigan Athletic,38,12,9,17,34,45,-11,45,1.18,"18,350",Amr Zaki - 10,Chris Kirkland,29,26.5,,38,418,,,33,15,28,5,5,59,4,0.87,0.39,1.26,0.74,1.13,3,38,38,"3,420",,45,1.18,134,89,66.4,12,9,17,13,34.2,,,,,,29,,33,,183,,,4.82,,0.15,,5,5
