Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Manchester Utd,38,28,5,5,83,27,56,89,2.34,"75,826",25,27.3,,38,418,,,80,60,75,5,6,58,1,2.11,1.58,3.68,1.97,3.55,2,38,38,"3,420",,27,0.71,176,149,84.7,28,5,5,16,42.1,25,,80,,300,,,7.89,,0.25,,5,6
12,Middlesbrough,38,12,10,16,44,49,-5,46,1.21,"27,730",27,25.4,,38,418,,,43,33,39,4,5,65,2,1.13,0.87,2,1.03,1.89,2,38,38,"3,420",,49,1.29,234,185,79.1,12,10,16,9,23.7,27,,43,,169,,,4.45,,0.23,,4,5
13,Newcastle Utd,38,11,10,17,38,47,-9,43,1.13,"50,686",29,26.1,,38,418,,,38,26,33,5,5,69,1,1,0.68,1.68,0.87,1.55,3,38,38,"3,416",,47,1.24,224,177,79,11,10,17,7,18.4,29,,38,,182,,,4.79,,0.18,,5,5
9,Portsmouth,38,14,12,12,45,42,3,54,1.42,"19,862",22,28.4,,38,405,,,40,31,38,2,3,51,1,1.05,0.82,1.87,1,1.82,1,38,38,"3,420",,42,1.11,214,172,80.4,14,12,12,12,31.6,22,,40,,195,,,5.13,,0.19,,2,3
8,Reading,38,16,7,15,52,47,5,55,1.45,"23,829",23,26.9,,38,418,,,48,38,45,3,3,41,3,1.26,1,2.26,1.18,2.18,2,38,38,"3,420",,47,1.24,223,176,78.9,16,7,15,13,34.2,23,,48,,167,,,4.39,,0.27,,3,3
18,Sheffield Utd,38,10,8,20,32,55,-23,38,1,"30,684",32,26,,38,408,,,31,21,29,2,4,71,2,0.82,0.55,1.37,0.76,1.32,4,38,38,"3,420",,55,1.45,236,181,76.7,10,8,20,9,23.7,32,,31,,193,,,5.08,,0.15,,2,4
5,Tottenham,38,17,9,12,57,54,3,60,1.58,"35,739",26,25.1,,38,418,,,56,37,51,5,5,51,4,1.47,0.97,2.45,1.34,2.32,1,38,38,"3,420",,54,1.42,196,142,72.4,17,9,12,6,15.8,26,,56,,214,,,5.63,,0.24,,5,5
20,Watford,38,5,13,20,29,59,-30,28,0.74,"18,750",32,25.2,,38,390,,,24,18,21,3,3,48,2,0.63,0.47,1.11,0.55,1.03,2,38,38,"3,419",,59,1.55,272,213,78.3,5,13,20,9,23.7,32,,24,,144,,,3.79,,0.15,,3,3
15,West Ham,38,12,5,21,35,59,-24,41,1.08,"34,722",29,25.6,,38,442,,,35,26,34,1,3,86,2,0.92,0.68,1.61,0.89,1.58,2,38,38,"3,420",,59,1.55,239,180,75.3,12,5,21,9,23.7,29,,35,,149,,,3.92,,0.23,,1,3
17,Wigan Athletic,38,10,8,20,37,59,-22,38,1,"18,159",29,27.7,,38,415,,,37,24,34,3,6,81,3,0.97,0.63,1.61,0.89,1.53,3,38,38,"3,420",,60,1.58,236,176,74.6,10,8,20,10,26.3,29,,37,,188,,,4.95,,0.18,,3,6
