Rk,Squad▲,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
4,Arsenal,38,19,11,8,63,35,28,68,1.79,"60,140",24,25.1,,38,417,,,60,48,50,10,11,51,3,1.58,1.26,2.84,1.32,2.58,3,38,38,"3,420",,35,0.92,177,142,80.2,19,11,8,12,31.6,24,,60,,249,,,6.55,,0.2,,10,11
11,Aston Villa,38,11,17,10,43,41,2,50,1.32,"36,214",30,25.5,,38,436,,,45,31,39,6,8,47,1,1.18,0.82,2,1.03,1.84,3,38,38,"3,420",,41,1.08,207,166,80.2,11,17,10,13,34.2,30,,45,,228,,,6,,0.17,,6,8
10,Blackburn,38,15,7,16,52,54,-2,52,1.37,"21,271",28,28.2,,38,399,,,49,33,44,5,7,81,8,1.29,0.87,2.16,1.16,2.03,2,38,38,"3,420",,54,1.42,277,223,80.5,15,7,16,8,21.1,28,,49,,211,,,5.55,,0.21,,5,7
7,Bolton,38,16,8,14,47,52,-5,56,1.47,"23,606",23,28.2,,38,423,,,45,35,39,6,7,84,4,1.18,0.92,2.11,1.03,1.95,1,38,38,"3,420",,52,1.37,216,164,75.9,16,8,14,12,31.6,23,,45,,195,,,5.13,,0.2,,6,7
19,Charlton Ath,38,8,10,20,34,60,-26,34,0.89,"26,195",29,27.1,,38,429,,,32,22,28,4,4,60,4,0.84,0.58,1.42,0.74,1.32,3,38,38,"3,420",,60,1.58,247,187,75.7,8,10,20,11,28.9,29,,32,,172,,,4.53,,0.16,,4,4
2,Chelsea,38,24,11,3,64,24,40,83,2.18,"41,542",26,26.7,,38,418,,,58,49,55,3,4,65,4,1.53,1.29,2.82,1.45,2.74,3,38,38,"3,335",,24,0.65,175,151,86.3,24,11,3,22,57.9,26,,58,,235,,,6.18,,0.23,,3,4
6,Everton,38,15,13,10,52,36,16,58,1.53,"36,739",24,26.9,,38,411,,,50,35,42,8,8,70,2,1.32,0.92,2.24,1.11,2.03,3,38,38,"3,420",,36,0.95,221,185,83.7,15,13,10,14,36.8,24,,50,,200,,,5.26,,0.21,,8,8
16,Fulham,38,8,15,15,38,60,-22,39,1.03,"22,279",24,28.2,,38,424,,,36,27,33,3,3,60,3,0.95,0.71,1.66,0.87,1.58,2,38,38,"3,420",,60,1.58,237,177,74.7,8,15,15,7,18.4,24,,36,,177,,,4.66,,0.19,,3,3
3,Liverpool,38,20,8,10,57,27,30,68,1.79,"43,561",28,26.1,,38,419,,,56,44,50,6,7,43,0,1.47,1.16,2.63,1.32,2.47,3,38,38,"3,420",,27,0.71,173,146,84.4,20,8,10,20,52.6,28,,56,,249,,,6.55,,0.2,,6,7
14,Manchester City,38,11,9,18,29,44,-15,42,1.11,"39,997",28,26,,38,394,,,28,21,26,2,4,58,4,0.74,0.55,1.29,0.68,1.24,3,38,38,"3,420",,44,1.16,199,155,77.9,11,9,18,14,36.8,28,,28,,179,,,4.71,,0.15,,2,4
