Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
5,Arsenal,38,22,3,13,61,48,13,69,1.82,59.9,47.1,12.8,0.34,"59,665",27,24.4,53.2,38,418,"3,420",38,60,41,55,5,8,67,4,1.58,1.08,2.66,1.45,2.53,2,38,38,"3,420",38,48,1.26,141,93,69.5,22,3,13,13,34.2,6,5,0,1,0,27,38,60,580,185,31.9,15.26,4.87,0.09,0.3,17.3,5,8,59.9,54,0.1,0.1,1
14,Aston Villa,38,13,6,19,52,54,-2,45,1.18,44,49.1,-5.1,-0.13,"41,681",31,26.1,46.5,38,418,"3,420",38,50,42,47,3,3,81,2,1.32,1.11,2.42,1.24,2.34,3,38,38,"3,420",38,54,1.42,145,96,65.5,13,6,19,11,28.9,6,4,1,1,20,31,38,50,461,159,34.5,12.13,4.18,0.1,0.3,17.1,3,3,44,41.8,0.09,6,5.2
13,Brentford,38,13,7,18,48,56,-8,46,1.21,47.8,49.1,-1.3,-0.03,"16,918",29,25.4,44.5,38,418,"3,420",38,46,33,40,6,6,65,3,1.21,0.87,2.08,1.05,1.92,3,38,38,"3,420",38,56,1.47,173,123,70.5,13,7,18,9,23.7,5,5,0,0,0,29,38,46,441,139,31.5,11.61,3.66,0.09,0.29,15.6,6,6,47.8,43.3,0.1,-1.8,-3.3
9,Brighton,38,12,15,11,42,44,-2,51,1.34,46,45.6,0.4,0.01,"30,966",26,26.2,54.7,38,418,"3,420",38,40,30,36,4,7,72,2,1.05,0.79,1.84,0.95,1.74,2,38,38,"3,419",38,44,1.16,145,103,71.7,12,15,11,11,28.9,4,3,0,1,0,26,38,40,483,140,29,12.71,3.68,0.07,0.26,16.8,4,7,46,40.7,0.09,-6,-4.7
18,Burnley,38,7,14,17,34,53,-19,35,0.92,39,56.7,-17.7,-0.47,"19,278",23,28.5,39.8,38,418,"3,420",38,32,26,31,1,2,68,2,0.84,0.68,1.53,0.82,1.5,2,38,38,"3,420",38,53,1.39,172,123,72.1,7,14,17,9,23.7,5,5,0,0,0,23,38,32,406,117,28.8,10.68,3.08,0.08,0.26,16.4,1,2,39,37.4,0.09,-7,-6.4
3,Chelsea,38,21,11,6,76,33,43,74,1.95,67.2,36,31.3,0.82,"36,443",26,27.4,62.3,38,418,"3,420",38,75,52,67,8,9,63,1,1.97,1.37,3.34,1.76,3.13,2,38,38,"3,420",38,33,0.87,108,81,75,21,11,6,16,42.1,6,6,0,0,0,26,38,75,585,199,34,15.39,5.24,0.11,0.34,16.9,8,9,67.2,60.7,0.11,7.8,6.3
12,Crystal Palace,38,11,15,12,50,46,4,48,1.26,46.4,41,5.4,0.14,"24,588",24,27.1,50.9,38,418,"3,420",38,50,31,44,6,8,69,1,1.32,0.82,2.13,1.16,1.97,2,38,38,"3,420",38,46,1.21,141,100,69.5,11,15,12,12,31.6,4,3,1,0,25,24,38,50,404,141,34.9,10.63,3.71,0.11,0.31,15.4,6,8,46.4,40.3,0.1,3.6,3.7
16,Everton,38,11,6,21,43,66,-23,39,1.03,42.8,54.5,-11.7,-0.31,"38,446",33,26.7,39.7,38,418,"3,420",38,42,29,36,6,7,82,6,1.11,0.76,1.87,0.95,1.71,2,38,38,"3,420",38,66,1.74,184,125,65.2,11,6,21,8,21.1,2,2,0,0,0,33,38,42,431,127,29.5,11.34,3.34,0.08,0.28,17.1,6,7,42.8,37.5,0.09,-0.8,-1.5
17,Leeds United,38,9,11,18,42,79,-37,38,1,47.2,70.1,-23,-0.6,"36,308",29,26.1,52.5,38,418,"3,420",38,42,26,37,5,5,101,3,1.11,0.68,1.79,0.97,1.66,2,38,38,"3,420",38,79,2.08,219,143,66.2,9,11,18,5,13.2,5,5,0,0,0,29,38,42,485,142,29.3,12.76,3.74,0.08,0.26,17.7,5,5,47.2,43.4,0.09,-5.2,-6.4
8,Leicester City,38,14,10,14,62,59,3,52,1.37,50.8,61,-10.1,-0.27,"32,493",28,26.5,52.1,38,418,"3,420",38,62,46,60,2,2,55,1,1.63,1.21,2.84,1.58,2.79,2,38,38,"3,420",38,59,1.55,181,129,71.3,14,10,14,7,18.4,10,7,2,1,22.2,28,38,62,436,163,37.4,11.47,4.29,0.14,0.37,17.2,2,2,50.8,49.3,0.12,11.2,10.7
