Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2,Liverpool,38,28,8,2,94,26,68,92,2.42,89.2,34.3,55,1.45,"53,352",27,27.7,63.3,38,418,"3,420",38,94,71,87,7,8,50,1,2.47,1.87,4.34,2.29,4.16,2,38,38,"3,420",38,26,0.68,105,78,75.2,28,8,2,21,55.3,0,0,0,0,,27,38,94,722,237,32.8,19,6.24,0.12,0.37,15.9,7,8,89.2,83.5,0.12,4.8,3.5
1,Manchester City,38,29,6,3,99,26,73,93,2.45,89,27.2,61.9,1.63,"52,774",26,27,68.5,38,418,"3,420",38,96,63,89,7,9,42,1,2.53,1.66,4.18,2.34,4,2,38,38,"3,420",38,26,0.68,85,58,70.6,29,6,3,21,55.3,1,1,0,0,0,26,38,96,704,239,33.9,18.53,6.29,0.13,0.37,15.7,7,9,89,82,0.12,7,7
6,Manchester Utd,38,16,10,12,57,57,0,58,1.53,54.8,54.5,0.3,0.01,"73,150",29,27.2,52.9,38,418,"3,420",38,56,46,53,3,5,77,2,1.47,1.21,2.68,1.39,2.61,1,38,38,"3,420",38,57,1.5,177,124,69.5,16,10,12,8,21.1,6,3,3,0,50,29,38,56,505,179,35.4,13.29,4.71,0.1,0.3,17.1,3,5,54.8,51,0.1,1.2,2
11,Newcastle Utd,38,13,10,15,44,62,-18,49,1.29,40.3,55.4,-15.2,-0.4,"51,487",29,27.5,39.9,38,418,"3,420",38,41,23,38,3,3,81,2,1.08,0.61,1.68,1,1.61,3,38,38,"3,420",38,62,1.63,162,105,64.8,13,10,15,8,21.1,6,5,1,0,16.7,29,38,41,443,140,31.6,11.66,3.68,0.09,0.27,17.2,3,3,40.3,38,0.09,0.7,0
20,Norwich City,38,5,7,26,23,84,-61,22,0.58,33.3,77,-43.6,-1.15,"26,836",28,26.2,42.5,38,418,"3,420",38,21,16,18,3,3,57,1,0.55,0.42,0.97,0.47,0.89,2,38,38,"3,420",38,84,2.21,212,135,64.6,5,7,26,6,15.8,13,9,2,2,18.2,28,38,21,374,104,27.8,9.84,2.74,0.05,0.17,18.1,3,3,33.3,31,0.09,-12.3,-13
15,Southampton,38,9,13,16,43,67,-24,40,1.05,46.8,58.6,-11.9,-0.31,"30,134",25,25.7,47.9,38,418,"3,420",38,41,26,37,4,4,65,2,1.08,0.68,1.76,0.97,1.66,3,38,38,"3,420",38,67,1.76,180,116,63.9,9,13,16,8,21.1,2,2,0,0,0,25,38,41,483,159,32.9,12.71,4.18,0.08,0.23,17,4,4,46.8,43.7,0.09,-5.8,-6.7
4,Tottenham,38,22,5,11,69,40,29,71,1.87,65.1,39.4,25.8,0.68,"56,523",25,26.5,52,38,418,"3,420",38,63,50,58,5,5,69,1,1.66,1.32,2.97,1.53,2.84,1,38,38,"3,420",38,40,1.05,133,95,71.4,22,5,11,16,42.1,2,2,0,0,0,25,38,63,491,186,37.9,12.92,4.89,0.12,0.31,16.3,5,5,65.1,61.4,0.13,-2.1,-3.4
19,Watford,38,6,5,27,34,77,-43,23,0.61,38.8,66.6,-27.8,-0.73,"20,614",30,28.4,40.3,38,418,"3,420",38,33,26,32,1,2,63,3,0.87,0.68,1.55,0.84,1.53,2,38,38,"3,420",38,77,2.03,180,108,60.6,6,5,27,4,10.5,7,6,1,0,14.3,30,38,33,398,126,31.7,10.47,3.32,0.08,0.25,17.6,1,2,38.8,37.4,0.1,-5.8,-5.4
7,West Ham,38,16,8,14,60,51,9,56,1.47,49.9,51,-1.1,-0.03,"58,370",25,28.2,47.8,38,418,"3,420",38,58,46,54,4,6,52,3,1.53,1.21,2.74,1.42,2.63,2,38,38,"3,420",38,51,1.34,159,107,69.2,16,8,14,8,21.1,6,2,3,1,60,25,38,58,446,143,32.1,11.74,3.76,0.12,0.38,16,4,6,49.9,46,0.1,8.1,8
10,Wolves,38,15,6,17,38,43,-5,51,1.34,35.9,60.3,-24.4,-0.64,"30,841",26,27.3,49.6,38,418,"3,420",38,35,22,34,1,1,62,2,0.92,0.58,1.5,0.89,1.47,2,38,38,"3,420",38,43,1.13,157,124,78.3,15,6,17,11,28.9,10,9,0,1,0,26,38,35,403,134,33.3,10.61,3.53,0.08,0.25,17.9,1,1,35.9,35.4,0.09,-0.9,-1.4
